instance family
mcs30_b06_s40_AB06 0 570192
mcs30_b06_s40_AB07 0 682335
mcs30_b06_s40_AB08 0 147276
mcs30_b06_s40_AB09 0 225634
mcs30_b06_s50_AB00 0 1000012
mcs30_b06_s50_AB01 0 1000013
mcs30_b06_s50_AB02 0 1000017
mcs30_b06_s50_AB03 0 1000013
mcs30_b06_s50_AB04 0 1000010
mcs30_b06_s50_AB05 0 1000015
mcs30_b06_s50_AB06 0 1000002
mcs30_b06_s50_AB07 0 1000017
mcs30_b06_s50_AB08 0 1000013
mcs30_b06_s50_AB09 0 1000020
mcs30_b06m_s25_AB00 0 351
mcs30_b06m_s25_AB01 0 331
mcs30_b06m_s25_AB02 0 165
mcs30_b06m_s25_AB03 0 215
mcs30_b06m_s25_AB04 0 163
mcs30_b06m_s25_AB05 0 306
mcs30_b06m_s25_AB06 0 337
mcs30_b06m_s25_AB07 0 246
mcs30_b06m_s25_AB08 0 238
mcs30_b06m_s25_AB09 0 371
mcs30_b06m_s30_AB00 0 2730
mcs30_b06m_s30_AB01 0 6672
mcs30_b06m_s30_AB02 0 1335
mcs30_b06m_s30_AB03 0 6358
mcs30_b06m_s30_AB04 0 1605
mcs30_b06m_s30_AB05 0 2107
mcs30_b06m_s30_AB06 0 2231
mcs30_b06m_s30_AB07 0 2811
mcs30_b06m_s30_AB08 0 3020
mcs30_b06m_s30_AB09 0 4169
mcs30_b06m_s35_AB00 0 51748
mcs30_b06m_s35_AB01 0 77719
mcs30_b06m_s35_AB02 0 53932
mcs30_b06m_s35_AB03 0 18328
mcs30_b06m_s35_AB04 0 30902
mcs30_b06m_s35_AB05 0 53638
mcs30_b06m_s35_AB06 0 66572
mcs30_b06m_s35_AB07 0 72209
mcs30_b06m_s35_AB08 0 28341
mcs30_b06m_s35_AB09 0 100556
mcs30_b06m_s40_AB00 0 1000014
mcs30_b06m_s40_AB01 0 698249
mcs30_b06m_s40_AB02 0 423277
mcs30_b06m_s40_AB03 0 431593
mcs30_b06m_s40_AB04 0 630102
mcs30_b06m_s40_AB05 0 482631
mcs30_b06m_s40_AB06 0 1000006
mcs30_b06m_s40_AB07 0 627050
mcs30_b06m_s40_AB08 0 803372
mcs30_b06m_s40_AB09 0 774980
mcs30_b06m_s50_AB00 0 1000007
mcs30_b06m_s50_AB01 0 1000003
mcs30_b06m_s50_AB02 0 1000002
mcs30_b06m_s50_AB03 0 1000002
mcs30_b06m_s50_AB04 0 1000018
mcs30_b06m_s50_AB05 0 1000018
mcs30_b06m_s50_AB06 0 1000014
mcs30_b06m_s50_AB07 0 1000014
mcs30_b06m_s50_AB08 0 1000005
mcs30_b06m_s50_AB09 0 1000018
mcs30_b09_s35_AB00 0 55954
mcs30_b09_s35_AB01 0 35086
mcs30_b09_s35_AB02 0 49518
mcs30_b09_s35_AB03 0 25286
mcs30_b09_s35_AB04 0 18485
mcs30_b09_s35_AB05 0 21644
mcs30_b09_s35_AB06 0 69440
mcs30_b09_s35_AB07 0 28618
mcs30_b09_s35_AB08 0 21239
mcs30_b09_s35_AB09 0 25920
mcs30_b09_s40_AB00 0 732787
mcs30_b09_s40_AB01 0 499115
mcs30_b09_s40_AB02 0 655330
mcs30_b09_s40_AB03 0 610041
mcs30_b09_s40_AB04 0 588490
mcs30_b09_s40_AB05 0 491813
mcs30_b09_s40_AB06 0 548927
mcs30_b09_s40_AB07 0 524545
mcs30_b09_s40_AB08 0 685492
mcs30_b09_s40_AB09 0 569902
mcs30_b09_s50_AB00 0 1000004
mcs30_b09_s50_AB01 0 1000016
mcs30_b09_s50_AB02 0 1000008
mcs30_b09_s50_AB03 0 1000005
mcs30_b09_s50_AB04 0 1000001
mcs30_b09_s50_AB05 0 1000014
mcs30_b09_s50_AB06 0 1000020
mcs30_b09_s50_AB07 0 1000018
mcs30_b09_s50_AB08 0 1000017
mcs30_b09_s50_AB09 0 1000009
mcs30_b09m_s35_AB00 0 48500
mcs30_b09m_s35_AB01 0 50555
mcs30_b09m_s35_AB02 0 39602
mcs30_b09m_s35_AB03 0 38988
mcs30_b09m_s35_AB04 0 142777
mcs30_b09m_s35_AB05 0 54587
mcs30_b09m_s35_AB06 0 128149
mcs30_b09m_s35_AB07 0 44516
mcs30_b09m_s35_AB08 0 48406
mcs30_b09m_s35_AB09 0 51048
mcs30_b09m_s40_AB00 0 1000001
mcs30_b09m_s40_AB01 0 571675
mcs30_b09m_s40_AB02 0 1000009
mcs30_b09m_s40_AB03 0 1000012
mcs30_b09m_s40_AB04 0 657875
mcs30_b09m_s40_AB05 0 1000009
mcs30_b09m_s40_AB06 0 806331
mcs30_b09m_s40_AB07 0 775725
mcs30_b09m_s40_AB08 0 720987
mcs30_b09m_s40_AB09 0 1000015
mcs30_b09m_s50_AB00 0 1000017
mcs30_b09m_s50_AB01 0 1000005
mcs30_b09m_s50_AB02 0 1000007
mcs30_b09m_s50_AB03 0 1000013
mcs30_b09m_s50_AB04 0 1000005
mcs30_b09m_s50_AB05 0 1000018
mcs30_b09m_s50_AB06 0 1000001
mcs30_b09m_s50_AB07 0 1000001
mcs30_b09m_s50_AB08 0 1000001
mcs30_b09m_s50_AB09 0 1000031
mcs30_m2D_s30_AB00 0 867
mcs30_m2D_s30_AB01 0 280
mcs30_m2D_s30_AB02 0 661
mcs30_m2D_s30_AB03 0 107
mcs30_m2D_s30_AB04 0 150
mcs30_m2D_s30_AB05 0 557
mcs30_m2D_s30_AB06 0 233
mcs30_m2D_s30_AB07 0 1221
mcs30_m2D_s30_AB08 0 724
mcs30_m2D_s30_AB09 0 255
mcs30_m2D_s50_AB00 0 1000006
mcs30_m2D_s50_AB01 0 1000005
mcs30_m2D_s50_AB02 0 1000013
mcs30_m2D_s50_AB03 0 901704
mcs30_m2D_s50_AB04 0 1000004
mcs30_m2D_s50_AB05 0 1000014
mcs30_m2D_s50_AB06 0 1000008
mcs30_m2D_s50_AB07 0 1000016
mcs30_m2D_s50_AB08 0 794355
mcs30_m2D_s50_AB09 0 1000016
mcs30_m2Dr2_s30_AB00 0 834
mcs30_m2Dr2_s30_AB01 0 952
mcs30_m2Dr2_s30_AB02 0 527
mcs30_m2Dr2_s30_AB03 0 581
mcs30_m2Dr2_s30_AB04 0 967
mcs30_m2Dr2_s30_AB05 0 539
mcs30_m2Dr2_s30_AB06 0 1033
mcs30_m2Dr2_s30_AB07 0 455
mcs30_m2Dr2_s30_AB08 0 842
mcs30_m2Dr2_s30_AB09 0 494
mcs30_m2Dr2_s50_AB00 0 1000016
mcs30_m2Dr2_s50_AB01 0 1000002
mcs30_m2Dr2_s50_AB02 0 1000009
mcs30_m2Dr2_s50_AB03 0 1000018
mcs30_m2Dr2_s50_AB04 0 1000013
mcs30_m2Dr2_s50_AB05 0 1000007
mcs30_m2Dr2_s50_AB06 0 1000010
mcs30_m2Dr2_s50_AB07 0 1000017
mcs30_m2Dr2_s50_AB08 0 1000013
mcs30_m2Dr2_s50_AB09 0 1000011
mcs30_m2Dr4_s30_AB00 0 1451
mcs30_m2Dr4_s30_AB01 0 888
mcs30_m2Dr4_s30_AB02 0 1852
mcs30_m2Dr4_s30_AB03 0 1269
mcs30_m2Dr4_s30_AB04 0 689
mcs30_m2Dr4_s30_AB05 0 831
mcs30_m2Dr4_s30_AB06 0 882
mcs30_m2Dr4_s30_AB07 0 545
mcs30_m2Dr4_s30_AB08 0 565
mcs30_m2Dr4_s30_AB09 0 1898
mcs30_m2Dr4_s50_AB00 0 1000019
mcs30_m2Dr4_s50_AB01 0 1000003
mcs30_m2Dr4_s50_AB02 0 1000005
mcs30_m2Dr4_s50_AB03 0 1000012
mcs30_m2Dr4_s50_AB04 0 1000007
mcs30_m2Dr4_s50_AB05 0 1000017
mcs30_m2Dr4_s50_AB06 0 1000006
mcs30_m2Dr4_s50_AB07 0 1000009
mcs30_m2Dr4_s50_AB08 0 1000003
mcs30_m2Dr4_s50_AB09 0 1000011
mcs30_m2Dr6_s30_AB00 0 673
mcs30_m2Dr6_s30_AB01 0 1092
mcs30_m2Dr6_s30_AB02 0 2656
mcs30_m2Dr6_s30_AB03 0 356
mcs30_m2Dr6_s30_AB04 0 1570
mcs30_m2Dr6_s30_AB05 0 1841
mcs30_m2Dr6_s30_AB06 0 2286
mcs30_m2Dr6_s30_AB07 0 2175
mcs30_m2Dr6_s30_AB08 0 3146
mcs30_m2Dr6_s30_AB09 0 1465
mcs30_m2Dr6_s50_AB00 0 1000020
mcs30_m2Dr6_s50_AB01 0 1000004
mcs30_m2Dr6_s50_AB02 0 1000010
mcs30_m2Dr6_s50_AB03 0 1000012
mcs30_m2Dr6_s50_AB04 0 1000015
mcs30_m2Dr6_s50_AB05 0 1000003
mcs30_m2Dr6_s50_AB06 0 1000016
mcs30_m2Dr6_s50_AB07 0 1000008
mcs30_m2Dr6_s50_AB08 0 1000008
mcs30_m2Dr6_s50_AB09 0 1000006
mcs30_m3D_s25_AB00 0 140
mcs30_m3D_s25_AB01 0 59
mcs30_m3D_s25_AB02 0 184
mcs30_m3D_s25_AB03 0 282
mcs30_m3D_s25_AB04 0 178
mcs30_m3D_s25_AB05 0 195
mcs30_m3D_s25_AB06 0 484
mcs30_m3D_s25_AB07 0 347
mcs30_m3D_s25_AB08 0 144
