instance family
si2_b03m_m400.09 4 14
si2_b03m_m400.03 4 1000021
si2_b03m_m400.04 4 1000009
si2_b03m_m400.06 4 10
si2_b03m_m200.05 4 2289
si2_b03m_m200.03 4 5
si2_b03m_m200.00 4 6
si2_b03m_m200.08 4 1237
si2_b03m_m200.06 4 5
si2_b03m_m200.02 4 4
si2_b03m_m200.09 4 1097
si2_b03m_m200.04 4 12
si2_b03m_m200.01 4 5
si2_b03m_m200.07 4 5
si4_r001_m200.04 7 1000003
si4_r001_m200.07 7 1000024
si4_r001_m200.00 7 1000005
si4_r001_m200.01 7 1000019
si4_r001_m200.03 7 1000016
si4_r001_m200.06 7 1000011
si4_r001_m200.05 7 1000017
si4_r001_m200.08 7 1000016
si4_r001_m200.09 7 1000016
si4_r001_m200.02 7 1000015
si2_m4D_m256.08 5 28
si2_m4D_m256.03 5 17
si2_m4D_m256.02 5 17
si2_m4D_m256.06 5 7
si2_m4D_m256.04 5 6
si2_m4D_m256.07 5 6
si2_m4D_m256.01 5 13
si2_m4D_m256.09 5 9
si2_m4D_m256.00 5 17
si2_m4D_m256.05 5 7
si6_r01_m400.04 7 1000010
si6_r01_m400.08 7 1000018
si6_r01_m400.07 7 1000014
si6_r01_m400.06 7 1000003
si6_r01_m400.05 7 1000005
si6_r01_m400.02 7 1000016
si6_r01_m400.00 7 1000023
si6_r01_m400.03 7 1000012
si6_r01_m400.01 7 1000030
si6_r01_m400.09 7 1000013
si2_m4Dr4_m625.07 6 1000018
si2_m4Dr4_m625.02 6 1000033
si2_m4Dr4_m625.03 6 1000064
si2_m4Dr4_m625.00 6 1000052
si2_m4Dr4_m625.05 6 19
si2_m4Dr4_m625.06 6 1000015
si2_m4Dr4_m625.09 6 1000004
si2_m4Dr4_m625.01 6 1000004
si2_m4Dr4_m625.08 6 1000010
si2_m4Dr4_m625.04 6 1000026
si4_r01_m400.01 7 1000012
si4_r01_m400.08 7 1000017
si4_r01_m400.02 7 1000028
si4_r01_m400.03 7 1000013
si4_r01_m400.07 7 1000033
si4_r01_m400.06 7 1000023
si4_r01_m400.04 7 1000009
si4_r01_m400.00 7 1000033
si4_r01_m400.05 7 1000013
si4_r01_m400.09 7 1000018
si2_b09m_m400.09 4 11
si2_b09m_m400.03 4 1000029
si2_b09m_m400.01 4 1000029
si2_b09m_m400.08 4 1000036
si2_b09m_m400.05 4 1000036
si2_b09m_m400.06 4 1000005
si2_b09m_m400.00 4 1000033
si2_b09m_m400.02 4 1000002
si2_b09m_m400.04 4 1000014
si2_b09m_m400.07 4 1000003
si2_b09_m800.07 3 23
si2_b09_m800.04 3 34
si2_b09_m800.05 3 23
si2_b09_m800.00 3 22
si2_b09_m800.02 3 22
si2_b09_m800.01 3 26
si2_b09_m800.08 3 27
si2_b09_m800.09 3 24
si2_b09_m800.03 3 25
si2_b09_m800.06 3 26
si6_b03_m400.04 3 27
si6_b03_m400.09 3 28
si6_b03_m400.02 3 28
si6_b03_m400.06 3 30
si6_b03_m400.05 3 28
si6_b03_m400.08 3 29
si6_b03_m400.01 3 28
si6_b03_m400.07 3 27
si6_b03_m400.03 3 38
si6_b03_m400.00 3 28
si2_r005_m600.03 7 1000039
si2_r005_m600.00 7 1000026
si2_r005_m600.06 7 1000010
si2_r005_m600.01 7 1000035
si2_r005_m600.04 7 1000029
si2_r005_m600.09 7 1000039
si2_r005_m600.05 7 1000010
si2_r005_m600.02 7 1000005
si2_r005_m600.08 7 1000036
si2_r005_m600.07 7 1000021
si4_r01_m600.05 7 1000016
si4_r01_m600.02 7 1000047
si4_r01_m600.03 7 1000018
si4_r01_m600.07 7 1000021
si4_r01_m600.08 7 1000035
si4_r01_m600.06 7 1000018
si4_r01_m600.01 7 1000014
si4_r01_m600.04 7 1000011
si4_r01_m600.00 7 1000032
si4_r01_m600.09 7 1000007
si2_b09_m400.04 3 11
si2_b09_m400.08 3 10
si2_b09_m400.05 3 13
si2_b09_m400.01 3 10
si2_b09_m400.03 3 10
si2_b09_m400.02 3 10
si2_b09_m400.07 3 10
si2_b09_m400.09 3 10
si2_b09_m400.06 3 11
si2_b09_m400.00 3 12
si4_b06_m200.06 3 9
si4_b06_m200.03 3 9
si4_b06_m200.02 3 10
si4_b06_m200.07 3 10
si4_b06_m200.05 3 10
si4_b06_m200.08 3 9
si4_b06_m200.00 3 9
si4_b06_m200.04 3 9
si4_b06_m200.01 3 9
si4_b06_m200.09 3 11
si4_r005_m400.06 7 1000017
si4_r005_m400.03 7 1000015
si4_r005_m400.07 7 1000015
si4_r005_m400.01 7 1000026
si4_r005_m400.04 7 1000037
si4_r005_m400.00 7 1000018
si4_r005_m400.09 7 1000014
si4_r005_m400.05 7 1000032
si4_r005_m400.08 7 1000021
si4_r005_m400.02 7 1000009
si4_m4Dr2_m1296.07 6 1000043
si4_m4Dr2_m1296.00 6 1000057
si4_m4Dr2_m1296.05 6 1000010
si4_m4Dr2_m1296.04 6 1000040
si4_m4Dr2_m1296.08 6 1000015
si4_m4Dr2_m1296.01 6 1000010
si4_m4Dr2_m1296.06 6 1000010
si4_m4Dr2_m1296.02 6 1000064
si4_m4Dr2_m1296.03 6 1000046
si4_m4Dr2_m1296.09 6 1000073
si6_b09_m800.03 3 59
si6_b09_m800.09 3 61
si6_b09_m800.07 3 57
si6_b09_m800.05 3 58
si6_b09_m800.04 3 61
si6_b09_m800.01 3 61
si6_b09_m800.00 3 58
si6_b09_m800.02 3 60
si6_b09_m800.06 3 59
si6_b09_m800.08 3 58
si6_b06m_m400.00 4 29
si6_b06m_m400.08 4 1000028
si6_b06m_m400.03 4 28
si6_b06m_m400.04 4 1000021
si6_b06m_m400.06 4 1000011
si6_b06m_m400.07 4 32
si6_b06m_m400.09 4 1000009
si6_b06m_m400.02 4 1000014
si6_b06m_m400.01 4 1000003
si6_b06m_m400.05 4 1000002
si2_m4Dr4_m1296.08 6 1000019
si2_m4Dr4_m1296.07 6 1000026
si2_m4Dr4_m1296.03 6 1000008
si2_m4Dr4_m1296.05 6 1000045
si2_m4Dr4_m1296.06 6 1000053
si2_m4Dr4_m1296.04 6 1000040
si2_m4Dr4_m1296.09 6 1000036
si2_m4Dr4_m1296.01 6 1000088
si2_m4Dr4_m1296.00 6 1000074
si2_m4Dr4_m1296.02 6 1000009
si6_m4Dr6_m1296.02 6 1000039
si6_m4Dr6_m1296.08 6 1000059
si6_m4Dr6_m1296.07 6 1000029
si6_m4Dr6_m1296.06 6 1000014
si6_m4Dr6_m1296.03 6 1000042
si6_m4Dr6_m1296.04 6 1000020
si6_m4Dr6_m1296.05 6 1000038
si6_m4Dr6_m1296.00 6 1000012
si6_m4Dr6_m1296.09 6 1000027
si6_m4Dr6_m1296.01 6 1000036
si4_m4Dr2_m256.00 6 1000027
si4_m4Dr2_m256.01 6 12
si4_m4Dr2_m256.05 6 1000035
si4_m4Dr2_m256.04 6 1000011
si4_m4Dr2_m256.08 6 1000009
si4_m4Dr2_m256.07 6 1000003
si4_m4Dr2_m256.06 6 1000004
si4_m4Dr2_m256.02 6 1000036
si4_m4Dr2_m256.09 6 1000004
si4_m4Dr2_m256.03 6 1000040
si4_b09m_m200.01 4 1000019
si4_b09m_m200.00 4 1000015
si4_b09m_m200.03 4 1000019
si4_b09m_m200.06 4 1000001
si4_b09m_m200.02 4 9
si4_b09m_m200.04 4 1000013
si4_b09m_m200.05 4 52457
si4_b09m_m200.07 4 1000013
si4_b09m_m200.08 4 21828
si4_b09m_m200.09 4 1000014
si4_m4Dr4_m625.07 6 1000033
si4_m4Dr4_m625.05 6 1000022
si4_m4Dr4_m625.01 6 1000016
si4_m4Dr4_m625.08 6 1000027
si4_m4Dr4_m625.09 6 1000021
si4_m4Dr4_m625.00 6 1000029
si4_m4Dr4_m625.04 6 1000015
si4_m4Dr4_m625.06 6 1000029
si4_m4Dr4_m625.03 6 1000027
si4_m4Dr4_m625.02 6 1000007
si4_m4Dr4_m1296.03 6 1000037
si4_m4Dr4_m1296.01 6 1000023
si4_m4Dr4_m1296.00 6 1000012
si4_m4Dr4_m1296.07 6 1000044
si4_m4Dr4_m1296.02 6 69
si4_m4Dr4_m1296.04 6 1000051
si4_m4Dr4_m1296.09 6 1000034
si4_m4Dr4_m1296.06 6 1000027
si4_m4Dr4_m1296.08 6 1000040
si4_m4Dr4_m1296.05 6 1000086
si2_r005_m400.05 7 1000018
si2_r005_m400.06 7 1000012
si2_r005_m400.08 7 1000021
si2_r005_m400.02 7 1000034
si2_r005_m400.03 7 1000037
si2_r005_m400.00 7 1000034
si2_r005_m400.07 7 1000005
si2_r005_m400.09 7 1000003
si2_r005_m400.04 7 1000044
si2_r005_m400.01 7 1000037
si2_b06m_m400.03 4 1000034
si2_b06m_m400.06 4 1000016
si2_b06m_m400.05 4 1000030
si2_b06m_m400.01 4 1000020
si2_b06m_m400.00 4 4599
si2_b06m_m400.08 4 205870
si2_b06m_m400.07 4 10
si2_b06m_m400.09 4 1000006
si2_b06m_m400.04 4 1000021
si2_b06m_m400.02 4 1000018
si6_r005_m600.02 7 1000035
si6_r005_m600.08 7 1000025
si6_r005_m600.03 7 1000029
si6_r005_m600.05 7 1000039
si6_r005_m600.07 7 1000009
si6_r005_m600.04 7 1000031
si6_r005_m600.06 7 1000025
si6_r005_m600.01 7 1000038
si6_r005_m600.09 7 1000032
si6_r005_m600.00 7 1000016
si6_r005_m200.02 7 1000023
si6_r005_m200.08 7 1000014
si6_r005_m200.09 7 1000011
si6_r005_m200.05 7 1000007
si6_r005_m200.03 7 1000026
si6_r005_m200.00 7 1000016
si6_r005_m200.04 7 1000011
si6_r005_m200.07 7 1000001
si6_r005_m200.01 7 1000030
si6_r005_m200.06 7 1000023
si2_m4Dr6_m625.06 6 1000035
si2_m4Dr6_m625.08 6 1000004
si2_m4Dr6_m625.07 6 1000042
si2_m4Dr6_m625.03 6 1000005
si2_m4Dr6_m625.04 6 1000038
si2_m4Dr6_m625.05 6 1000017
si2_m4Dr6_m625.09 6 1000011
si2_m4Dr6_m625.01 6 1000054
