instance family
si6_r005_m200.08 7 157
si6_r005_m200.09 7 148
si6_r005_m200.05 7 186
si6_r005_m200.03 7 126
si6_r005_m200.00 7 181
si6_r005_m200.04 7 116
si6_r005_m200.07 7 110
si6_r005_m200.01 7 143
si6_r005_m200.06 7 92
si2_m4Dr6_m625.06 6 224
si2_m4Dr6_m625.08 6 303
si2_m4Dr6_m625.07 6 220
si2_m4Dr6_m625.03 6 221
si2_m4Dr6_m625.04 6 223
si2_m4Dr6_m625.05 6 223
si2_m4Dr6_m625.09 6 224
si2_m4Dr6_m625.01 6 219
si2_m4Dr6_m625.02 6 230
si2_m4Dr6_m625.00 6 266
si6_b03_m800.02 3 981
si6_b03_m800.04 3 894
si6_b03_m800.03 3 892
si6_b03_m800.05 3 894
si6_b03_m800.06 3 994
si6_b03_m800.01 3 893
si6_b03_m800.00 3 893
si6_b03_m800.07 3 932
si6_b03_m800.09 3 909
si6_b03_m800.08 3 894
si4_m4D_m1296.09 5 1522
si4_m4D_m1296.06 5 1561
si4_m4D_m1296.05 5 1652
si4_m4D_m1296.00 5 3167
si4_m4D_m1296.03 5 13616
si4_m4D_m1296.04 5 1690
si4_m4D_m1296.08 5 1000004
si4_m4D_m1296.02 5 4781
si4_m4D_m1296.01 5 1583
si4_m4D_m1296.07 5 1582
si6_b03m_m400.03 4 133
si6_b03m_m400.01 4 135
si6_b03m_m400.09 4 132
si6_b03m_m400.08 4 132
si6_b03m_m400.07 4 131
si6_b03m_m400.02 4 130
si6_b03m_m400.05 4 131
si6_b03m_m400.00 4 129
si6_b03m_m400.06 4 131
si6_b03m_m400.04 4 131
si4_m4D_m256.07 5 38
si4_m4D_m256.06 5 38
si4_m4D_m256.05 5 38
si4_m4D_m256.08 5 39
si4_m4D_m256.04 5 65
si4_m4D_m256.09 5 39
si4_m4D_m256.02 5 40
si4_m4D_m256.00 5 40
si4_m4D_m256.03 5 39
si4_m4D_m256.01 5 39
si6_b06m_m800.07 4 805
si6_b06m_m800.04 4 707
si6_b06m_m800.01 4 675
si6_b06m_m800.00 4 690
si6_b06m_m800.05 4 803
si6_b06m_m800.08 4 698
si6_b06m_m800.09 4 684
si6_b06m_m800.02 4 694
si6_b06m_m800.03 4 774
si6_b06m_m800.06 4 728
si4_r001_m400.08 7 607
si4_r001_m400.06 7 220
si4_r001_m400.02 7 144
si4_r001_m400.00 7 145
si4_r001_m400.04 7 135
si4_r001_m400.03 7 148
si4_r001_m400.09 7 156
si4_r001_m400.05 7 632
si4_r001_m400.01 7 146
si4_r001_m400.07 7 188
si2_m4Dr6_m1296.00 6 1363
si2_m4Dr6_m1296.01 6 1354
si2_m4Dr6_m1296.09 6 1317
si2_m4Dr6_m1296.06 6 1335
si2_m4Dr6_m1296.03 6 1350
si2_m4Dr6_m1296.02 6 1362
si2_m4Dr6_m1296.05 6 1456
si2_m4Dr6_m1296.08 6 1322
si2_m4Dr6_m1296.04 6 1364
si2_m4Dr6_m1296.07 6 1553
si2_b03_m800.07 3 390
si2_b03_m800.08 3 419
si2_b03_m800.04 3 391
si2_b03_m800.05 3 407
si2_b03_m800.09 3 394
si2_b03_m800.00 3 392
si2_b03_m800.02 3 463
si2_b03_m800.03 3 390
si2_b03_m800.01 3 391
si2_b03_m800.06 3 391
si4_b03m_m200.05 4 23
si4_b03m_m200.02 4 38
si4_b03m_m200.04 4 22
si4_b03m_m200.07 4 22
si4_b03m_m200.00 4 38
si4_b03m_m200.06 4 40
si4_b03m_m200.03 4 23
si4_b03m_m200.09 4 38
si4_b03m_m200.08 4 22
si4_b03m_m200.01 4 22
si2_b06m_m200.04 4 20
si2_b06m_m200.03 4 32
si2_b06m_m200.08 4 19
si2_b06m_m200.06 4 32
