instance family mcis-fc-induced
si2_m4Dr2_m625.03 6 1000.002930
si2_m4Dr2_m625.02 6 1000.000122
si2_m4Dr2_m625.07 6 1000.000183
si2_r005_m200.02 7 1000.000000
si2_r005_m200.01 7 1000.000000
si2_r005_m200.03 7 1000.000000
si2_r005_m200.05 7 1000.000000
si2_r005_m200.08 7 1000.000061
si2_r005_m200.04 7 1000.000061
si2_r005_m200.09 7 1000.000061
si2_r005_m200.06 7 1000.000061
si2_r005_m200.00 7 1000.000000
si2_r005_m200.07 7 1000.000061
si4_b03m_m400.03 4 1000.000427
si4_b03m_m400.09 4 1000.000366
si4_b03m_m400.08 4 1000.000305
si4_b03m_m400.04 4 1000.000366
si4_b03m_m400.00 4 1000.000305
si4_b03m_m400.01 4 1000.000366
si4_b03m_m400.07 4 1000.000305
si4_b03m_m400.02 4 1000.000305
si4_b03m_m400.06 4 1000.000427
si4_b03m_m400.05 4 1000.000305
si2_r01_m600.01 7 1000.000366
si2_r01_m600.06 7 1000.000061
si2_r01_m600.09 7 1000.000061
si2_r01_m600.08 7 1000.000061
si2_r01_m600.04 7 1000.000061
si2_r01_m600.02 7 1000.000061
si2_r01_m600.00 7 1000.000061
si2_r01_m600.07 7 1000.000061
si2_r01_m600.03 7 1000.000061
si2_r01_m600.05 7 1000.000061
si4_m4Dr6_m256.01 6 1000.000122
si4_m4Dr6_m256.00 6 13.680401
si4_m4Dr6_m256.05 6 1000.000000
si4_m4Dr6_m256.08 6 1000.000122
si4_m4Dr6_m256.03 6 1000.000000
si4_m4Dr6_m256.06 6 1000.000122
si4_m4Dr6_m256.09 6 1000.000244
si4_m4Dr6_m256.07 6 1000.000122
si4_m4Dr6_m256.02 6 1000.000122
si4_m4Dr6_m256.04 6 12.314183
si2_b03m_m400.02 4 1000.000122
si2_b03m_m400.00 4 1000.000122
si2_b03m_m400.01 4 1000.000122
si2_b03m_m400.05 4 1000.000122
si2_b03m_m400.08 4 1000.000122
si2_b03m_m400.07 4 1000.000183
si2_b03m_m400.09 4 1000.000061
si2_b03m_m400.03 4 1000.000122
si2_b03m_m400.04 4 1000.000000
si2_b03m_m400.06 4 148.958405
si2_b03m_m200.05 4 5.357517
si2_b03m_m200.03 4 1.012017
si2_b03m_m200.00 4 491.934326
si2_b03m_m200.08 4 68.706696
si2_b03m_m200.06 4 1.106657
si2_b03m_m200.02 4 1.114201
si2_b03m_m200.09 4 37.510754
si2_b03m_m200.04 4 1.019531
si2_b03m_m200.01 4 1.069558
si2_b03m_m200.07 4 1.290269
si4_r001_m200.04 7 1000.000061
si4_r001_m200.07 7 1000.000061
si4_r001_m200.00 7 1000.000183
si4_r001_m200.01 7 1000.000061
si4_r001_m200.03 7 1000.000061
si4_r001_m200.06 7 1000.000061
si4_r001_m200.05 7 1000.000061
si4_r001_m200.08 7 1000.000061
si4_r001_m200.09 7 1000.000061
si4_r001_m200.02 7 1000.000061
si2_m4D_m256.08 5 2.760107
si2_m4D_m256.03 5 2.821710
si2_m4D_m256.02 5 44.993839
si2_m4D_m256.06 5 2.778673
si2_m4D_m256.04 5 933.482483
si2_m4D_m256.07 5 10.097670
si2_m4D_m256.01 5 2.779332
si2_m4D_m256.09 5 2.917962
si2_m4D_m256.00 5 2.789370
si2_m4D_m256.05 5 2.937394
si6_r01_m400.04 7 1000.000061
si6_r01_m400.08 7 1000.000061
si6_r01_m400.07 7 1000.000061
si6_r01_m400.06 7 1000.000061
si6_r01_m400.05 7 1000.000061
si6_r01_m400.02 7 1000.000061
si6_r01_m400.00 7 1000.000061
si6_r01_m400.03 7 1000.000061
si6_r01_m400.01 7 1000.000061
si6_r01_m400.09 7 1000.000061
si2_m4Dr4_m625.07 6 1000.000000
si2_m4Dr4_m625.02 6 1000.000000
si2_m4Dr4_m625.03 6 1000.000061
si2_m4Dr4_m625.00 6 1000.000244
si2_m4Dr4_m625.05 6 1000.000244
si2_m4Dr4_m625.06 6 1000.000183
si2_m4Dr4_m625.09 6 1000.000244
si2_m4Dr4_m625.01 6 1000.000244
si2_m4Dr4_m625.08 6 211.431702
si2_m4Dr4_m625.04 6 1000.000183
si4_r01_m400.01 7 1000.000061
si4_r01_m400.08 7 1000.000061
si4_r01_m400.02 7 1000.000061
si4_r01_m400.03 7 1000.000061
si4_r01_m400.07 7 1000.000061
si4_r01_m400.06 7 1000.000061
si4_r01_m400.04 7 1000.000061
si4_r01_m400.00 7 1000.000061
si4_r01_m400.05 7 1000.000061
si4_r01_m400.09 7 1000.000061
si2_b09m_m400.09 4 1000.000000
si2_b09m_m400.03 4 1000.000122
si2_b09m_m400.01 4 1000.000061
si2_b09m_m400.08 4 1000.000000
si2_b09m_m400.05 4 1000.000061
si2_b09m_m400.06 4 1000.000000
si2_b09m_m400.00 4 1000.000122
si2_b09m_m400.02 4 1000.000000
