instance clique cp-fc cp-mac james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32
mcs10_b06m_s70_AB00 8207 1000.000000 1000.000061 234901 354135 162272 252468 791 703
mcs10_b06m_s70_AB01 11592 1000.000000 1000.000000 119072 132564 98563 91766 795 542
mcs10_b06m_s70_AB02 43422 1000.000000 1000.000000 597925 1000000 300106 492984 4170 3427
mcs10_b06m_s70_AB03 26847 1000.000000 1000.000000 528044 819288 264910 370372 1741 1208
mcs10_b06m_s70_AB04 18985 1000.000000 1000.000000 496326 837491 213439 351625 1021 736
mcs10_b06m_s70_AB05 3624 1000.000000 1000.000000 350512 385875 256161 394900 275 217
mcs10_b06m_s70_AB06 17087 1000.000000 1000.000000 786583 1000000 252575 433273 1205 1212
mcs10_b06m_s70_AB07 39064 1000.000000 1000.000000 932704 1000000 701892 1000000 3134 3142
mcs10_b06m_s70_AB08 35083 1000.000000 1000.000000 273754 359469 137212 192884 2277 1461
mcs10_b06m_s70_AB09 26787 1000.000000 1000.000000 868341 1000000 612900 934200 1754 1219
mcs10_b06m_s80_AB00 425997 1000.000000 1000.000000 1000000 1000000 1000000 1000000 28218 20008
mcs10_b06m_s80_AB01 183973 1000.000000 1000.000000 1000000 1000000 1000000 1000000 10800 8331
mcs10_b06m_s80_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 163374 116578
mcs10_b06m_s80_AB03 54714 1000.000000 1000.000000 648217 886970 210866 249202 5774 3599
mcs10_b06m_s80_AB04 30934 1000.000000 1000.000000 1000000 1000000 746327 1000000 1917 1594
mcs10_b06m_s80_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 288170 206165
mcs10_b06m_s80_AB06 156305 1000.000000 1000.000000 1000000 1000000 1000000 1000000 11618 10886
mcs10_b06m_s80_AB07 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 211586 146154
mcs10_b06m_s80_AB08 586146 1000.000000 1000.000000 1000000 1000000 1000000 1000000 116901 98420
mcs10_b06m_s80_AB09 203454 1000.000000 1000.000000 1000000 1000000 1000000 1000000 25030 15486
mcs10_b06m_s90_AB00 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB01 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB03 1000000 1000.000061 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
mcs10_b06m_s90_AB04 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000001 1000003
mcs10_b06m_s90_AB05 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000002
mcs10_b06m_s90_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000002 1000003
