instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_r005_s35_AB04 NaN NaN NaN 18096124 52347268 62802455 48495159 58153202 1177253289 1191003367 7005737 5542066 58899823
mcs10_r005_s35_AB05 NaN 20454090.000000 9328012.000000 14702415 11328970 7762894 10893815 7429218 849685536 760324553 3306738 2369537 15261827
mcs10_r005_s35_AB06 NaN NaN NaN 26530908 35917060 38247932 32374106 34055983 NaN NaN 8816382 5845849 29608427
mcs10_r005_s35_AB07 NaN NaN NaN 46227603 104126331 120406887 96811343 111572807 NaN NaN 25086078 24060634 67052728
mcs10_r005_s35_AB08 NaN NaN NaN 16356841 15376371 18112106 13724785 16222261 NaN 3015639011 3729700 3023733 15557459
mcs10_r005_s35_AB09 NaN NaN NaN 11648926 14447323 17527509 13113927 15952371 NaN NaN 3039812 2423052 10198581
mcs10_r005_s40_AB00 NaN NaN NaN 28673871 826273381 1024139036 735152951 905962662 NaN NaN 241954982 232482441 218250466
mcs10_r005_s40_AB01 NaN NaN NaN 38365677 992987585 1175855509 910210905 1073663301 NaN NaN 661900290 655948502 88143225
mcs10_r005_s40_AB02 NaN NaN NaN 36151796 1780225943 2229615980 1639140224 2053738462 NaN NaN 567338881 442687960 310118501
mcs10_r005_s40_AB03 NaN NaN NaN 36874667 714743478 868783760 655801657 795024566 NaN NaN 229654710 216037034 179199016
mcs10_r005_s40_AB04 NaN NaN NaN 38398058 2509697669 3201865222 2216034521 2818426289 NaN NaN 391377460 222343007 297569440
mcs10_r005_s40_AB05 NaN NaN NaN 38451294 1663007286 1983246851 1488992682 1765500334 NaN NaN 541930282 480879839 148143940
mcs10_r005_s40_AB06 NaN NaN NaN 33222472 828199608 1025265885 754481188 934493395 NaN NaN 200100825 166534325 239265594
mcs10_r005_s40_AB07 NaN NaN NaN 35494772 833612438 707801995 763456409 641525028 NaN NaN 121401600 102575048 173360699
mcs10_r005_s40_AB08 NaN NaN NaN 36923942 747082002 917210299 696153602 850404722 NaN NaN 279317137 262343972 156031433
mcs10_r005_s40_AB09 NaN NaN NaN 29550811 1147851330 1415920688 1033090820 1269078424 NaN NaN 278806966 222635726 262652934
mcs10_r005_s50_AB00 NaN NaN NaN 25411774 NaN NaN NaN NaN NaN NaN NaN NaN 188939933
mcs10_r005_s50_AB01 NaN NaN NaN 19744603 NaN NaN NaN NaN NaN NaN NaN NaN 202184119
mcs10_r005_s50_AB02 NaN NaN NaN 19576175 NaN NaN NaN NaN NaN NaN NaN NaN 198933303
mcs10_r005_s50_AB03 NaN NaN NaN 22354615 NaN NaN NaN NaN NaN NaN NaN NaN 189546343
mcs10_r005_s50_AB04 NaN NaN NaN 26164579 NaN NaN NaN NaN NaN NaN NaN NaN 151443509
mcs10_r005_s50_AB05 NaN NaN NaN 23382762 NaN NaN NaN NaN NaN NaN NaN NaN 181862551
mcs10_r005_s50_AB06 NaN NaN NaN 25952899 NaN NaN NaN NaN NaN NaN NaN NaN 167534636
mcs10_r005_s50_AB07 NaN NaN NaN 17882425 NaN NaN NaN NaN NaN NaN NaN NaN 204308918
mcs10_r005_s50_AB08 NaN NaN NaN 21144017 NaN NaN NaN NaN NaN NaN NaN NaN 199399954
mcs10_r005_s50_AB09 NaN NaN NaN 25266623 NaN NaN NaN NaN NaN NaN NaN NaN 191104352
mcs10_r01_s20_AB00 190360 160183.000000 94032.000000 75433 111917 145393 106132 138546 203964 192305 38031 48314 77036
mcs10_r01_s20_AB01 301577 185088.000000 114247.000000 53024 87751 110515 82577 104176 256351 266683 25871 35608 60471
mcs10_r01_s20_AB02 120606 124449.000000 70196.000000 76041 100819 136228 92948 125685 123062 124729 45149 53554 98593
mcs10_r01_s20_AB03 144722 70309.000000 39658.000000 20251 35191 36003 33472 33986 118023 113385 13777 27681 13311
mcs10_r01_s20_AB04 132346 109632.000000 65323.000000 13514 63683 73959 59860 70138 134502 150105 22289 35510 39552
mcs10_r01_s20_AB05 65978 107462.000000 50764.000000 31790 45447 54970 42927 52367 64394 62734 24180 31980 36972
mcs10_r01_s20_AB06 186416 134164.000000 79012.000000 111047 94990 124859 93709 122756 180050 182704 26863 40546 123489
mcs10_r01_s20_AB07 30538 18995.000000 11425.000000 87288 35575 21682 34174 20580 28635 27586 8774 13189 106269
mcs10_r01_s20_AB08 32295 79986.000000 38849.000000 166029 41848 55580 38371 51331 34258 32729 23326 29798 195897
mcs10_r01_s20_AB09 79365 46561.000000 24867.000000 26869 42148 45491 40688 43796 88795 105800 21214 28309 22906
mcs10_r01_s25_AB00 3835282 1482424.000000 988247.000000 659704 2651670 3299631 2512641 3133489 3537723 3804685 561865 472985 1753946
mcs10_r01_s25_AB01 3769781 5591659.000000 3507902.000000 1699083 1882225 2587805 1754995 2411644 3837524 3880994 549419 436034 1667308
mcs10_r01_s25_AB02 3704791 4277281.000000 2777418.000000 1829858 1966400 2606722 1855384 2456310 3715318 3715942 630252 496883 2144613
mcs10_r01_s25_AB03 4397954 1033552.000000 667614.000000 783736 1771995 2262207 1714684 2191236 4272116 4195060 461232 369981 1441127
mcs10_r01_s25_AB04 4879562 3403796.000000 2299928.000000 1955829 2601288 3501047 2495417 3360466 4715549 4732346 919306 654136 1873127
mcs10_r01_s25_AB05 6867307 3937778.000000 2586632.000000 2446783 2639271 3504014 2532758 3361447 6802474 6800337 881498 689735 2472099
mcs10_r01_s25_AB06 3064488 1366552.000000 859224.000000 1193217 715393 646483 681196 615173 2757935 2672701 193969 145517 1361762
mcs10_r01_s25_AB07 2004460 3392281.000000 2154206.000000 1547561 549312 748843 509315 697719 1676762 1676796 226388 163539 981384
mcs10_r01_s25_AB08 4870126 1647146.000000 1115259.000000 768719 1930880 2522260 1848595 2415552 4508792 4772052 463570 377504 1804922
mcs10_r01_s25_AB09 3620772 3338329.000000 1988328.000000 1472583 1806880 2457482 1746571 2384343 3626018 3582758 822682 701453 1472757
mcs10_r01_s30_AB00 379116041 80499955.000000 54271494.000000 54970500 55581785 78891425 52431731 74113257 377903434 378346608 16948007 13933779 51514412
mcs10_r01_s30_AB01 192516666 26807555.000000 17805717.000000 14630944 34146023 45648190 32243259 43051440 191491397 191398568 8341782 6940812 32175231
mcs10_r01_s30_AB02 122307859 49475833.000000 36473448.000000 31526939 26093263 31085503 24603833 29406445 111076901 105739551 7082335 6526364 16583311
mcs10_r01_s30_AB03 123898261 65858600.000000 42801751.000000 64391572 56973127 81544743 52304272 74990435 124157885 126912923 14782545 11911114 55931068
mcs10_r01_s30_AB04 79132401 40786612.000000 25796436.000000 18870557 24960729 35065018 22885066 32145704 78544697 78253445 9309957 8358995 19492089
mcs10_r01_s30_AB05 112026874 63903640.000000 42700668.000000 40161808 46185026 65507274 43314046 61402716 111988999 112093397 15081598 14409779 38990288
mcs10_r01_s30_AB06 195132360 82714402.000000 53683631.000000 45620365 45183546 66558799 42201970 62312638 193226404 193255330 14316385 12118239 54390164
mcs10_r01_s30_AB07 134560694 81385563.000000 55584055.000000 28272674 30759114 42209292 28848913 39588140 136391961 135432372 13479073 12872002 30779844
mcs10_r01_s30_AB08 231527791 97745802.000000 64089615.000000 53091677 57272386 81683013 53361842 76452437 228653689 230133783 18626941 15402264 52743815
mcs10_r01_s30_AB09 149562986 71825287.000000 48044930.000000 42648864 46573953 68195842 43183279 63386408 148226923 149283734 13215250 11318388 48800259
mcs10_r01_s35_AB00 NaN NaN NaN 43191241 323503820 455514549 300891237 423768039 3223096278 3160056333 90749461 75703743 199821614
mcs10_r01_s35_AB01 NaN NaN NaN 47412000 445151781 660628891 413308707 613484779 2109173880 2098986818 178608456 173635852 136465121
mcs10_r01_s35_AB02 NaN NaN NaN 43001438 527582872 785843110 491805032 733533344 1724356470 1701834830 161892653 144668239 226810122
mcs10_r01_s35_AB03 NaN NaN NaN 48536731 537720160 812237787 488126859 738438050 2339198879 2339007609 163984060 151288364 280693465
mcs10_r01_s35_AB04 NaN NaN NaN 39500122 489678773 722891832 452375277 668317068 NaN 4812705120 147497714 132811740 288716319
mcs10_r01_s35_AB05 NaN NaN NaN 48682603 731068104 1110190748 663249591 1009702742 1945500035 2091275869 178749550 164413639 205199492
mcs10_r01_s35_AB06 NaN NaN NaN 45005525 234817325 353172225 214241731 322964071 1193818841 1183116203 60761416 56392506 212582530
mcs10_r01_s35_AB07 NaN NaN NaN 47199651 1040798472 1571158882 945494862 1430623553 4172614605 4313143790 246821994 200565855 200754081
mcs10_r01_s35_AB08 NaN NaN NaN 49067095 575096032 848462852 532957266 787424867 2427785428 2413690122 186249824 165630412 210669554
mcs10_r01_s35_AB09 NaN NaN NaN 48002569 761653360 1169570026 705832927 1084013563 1939993584 1942374409 217889913 177503330 205338701
mcs10_r01_s40_AB00 NaN NaN NaN 35597054 NaN NaN NaN NaN NaN NaN NaN 2193136570 133391006
mcs10_r01_s40_AB01 NaN NaN NaN 35510555 NaN NaN NaN NaN NaN NaN 1371349281 1220541957 167765474
mcs10_r01_s40_AB02 NaN NaN NaN 32237999 NaN NaN NaN NaN NaN NaN NaN NaN 229887415
mcs10_r01_s40_AB03 NaN NaN NaN 31422121 NaN NaN NaN NaN NaN NaN 1981330760 1561391653 210193274
mcs10_r01_s40_AB04 NaN NaN NaN 36141589 NaN NaN NaN NaN NaN NaN 2247882444 1932082278 213478284
mcs10_r01_s40_AB05 NaN NaN NaN 33103864 NaN NaN NaN NaN NaN NaN NaN NaN 243916577
mcs10_r01_s40_AB06 NaN NaN NaN 30997273 NaN NaN NaN NaN NaN NaN 1571161979 1509360208 211449844
mcs10_r01_s40_AB07 NaN NaN NaN 37218729 NaN NaN NaN NaN NaN NaN 1922727965 1755299481 127163153
mcs10_r01_s40_AB08 NaN NaN NaN 33812538 NaN NaN NaN NaN NaN NaN 1698474855 1433268737 223427215
mcs10_r01_s40_AB09 NaN NaN NaN 37542487 NaN NaN NaN NaN NaN NaN NaN NaN 122243385
