instance clique cp-fc cp-mac kdown james-cpp-product james-cpp-product-down james-cpp-max james-cpp-max-down clique-par/t16 clique-par/t32 james-cpp-max-par/t16 james-cpp-max-par/t32 kdown-par/t32
mcs10_r01_s35_AB03 1000000 1000.000000 1000.000122 1000000 172249 271218 163253 259365 521018 351993 62765 53648 1000005
mcs10_r01_s35_AB04 1000000 1000.000000 1000.000000 1000000 154849 239094 147107 225620 1000002 664227 53553 46667 1000003
mcs10_r01_s35_AB05 1000000 1000.000000 1000.000000 1000000 229931 362834 219201 349547 430440 306484 74536 60116 1000007
mcs10_r01_s35_AB06 1000000 1000.000000 1000.000000 1000000 75564 120612 72400 113738 279551 186107 23853 22058 1000007
mcs10_r01_s35_AB07 1000000 1000.000000 1000.000244 1000000 319800 505600 305178 480317 881210 607580 107368 77992 1000008
mcs10_r01_s35_AB08 1000000 1000.000000 1000.000061 1000000 181185 283510 175490 270096 535858 358972 68172 58483 1000007
mcs10_r01_s35_AB09 1000000 1000.000000 1000.000122 1000000 244468 397856 240838 385709 427720 288851 87043 66354 1000002
mcs10_r01_s40_AB00 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000004 1000001 860997 1000002
mcs10_r01_s40_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000005 524126 440406 1000003
mcs10_r01_s40_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000005 1000001 1000002 1000008
mcs10_r01_s40_AB03 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000004 827925 633055 1000004
mcs10_r01_s40_AB04 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000005 897647 726746 1000009
mcs10_r01_s40_AB05 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000004 1000001 1000002 1000003
mcs10_r01_s40_AB06 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000005 584294 545503 1000009
mcs10_r01_s40_AB07 1000000 1000.000000 1000.000305 1000000 1000000 1000000 1000000 1000000 1000003 1000005 732814 611289 1000009
mcs10_r01_s40_AB08 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000005 689028 592393 1000009
mcs10_r01_s40_AB09 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000003 1000005 1000001 1000002 1000009
mcs10_r01_s50_AB00 1000000 1000.000000 1000.000061 1000000 1000000 1000000 1000000 1000000 1000005 1000007 1000000 1000001 1000012
mcs10_r01_s50_AB01 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000004 1000005 1000000 1000001 1000012
mcs10_r01_s50_AB02 1000000 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000006 1000000 1000001 1000005
mcs10_r01_s50_AB03 1000001 1000.000000 1000.000000 1000000 1000000 1000000 1000000 1000000 1000005 1000007 1000000 1000001 1000014
