instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_r005_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r005_s50_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_r005_s50_AB08 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_r005_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000005
mcs10_r01_s20_AB00 907 43 78 0.269471 0.419327 0.384919 87
mcs10_r01_s20_AB01 1548 79 77 0.809283 0.589701 0.544654 109
mcs10_r01_s20_AB02 639 53 38 0.657349 0.637869 0.587032 79
mcs10_r01_s20_AB03 557 15 14 0.198762 0.280075 0.250243 69
mcs10_r01_s20_AB04 762 15 18 0.287248 0.327602 0.302320 81
mcs10_r01_s20_AB05 564 14 18 0.184793 0.149004 0.140019 66
mcs10_r01_s20_AB06 667 24 32 0.522032 0.605131 0.556238 71
mcs10_r01_s20_AB07 652 25 21 0.192487 0.193147 0.180794 80
mcs10_r01_s20_AB08 574 39 45 0.554643 0.381382 0.354798 68
mcs10_r01_s20_AB09 535 16 11 0.194245 0.233512 0.218436 66
mcs10_r01_s25_AB00 42749 755 1042 11.807662 18.956629 17.476227 1866
mcs10_r01_s25_AB01 28434 443 608 6.579955 9.577208 8.960988 1351
mcs10_r01_s25_AB02 33973 591 873 9.291856 11.981397 11.097084 1610
mcs10_r01_s25_AB03 32865 459 619 6.762596 9.642563 8.969713 1515
mcs10_r01_s25_AB04 37149 704 1031 12.829898 18.421968 18.211693 1639
mcs10_r01_s25_AB05 42002 676 1031 13.010592 13.845822 12.785403 1789
mcs10_r01_s25_AB06 19403 374 354 4.936936 4.970839 4.588946 893
mcs10_r01_s25_AB07 36745 610 897 9.557610 9.907999 9.278337 1590
mcs10_r01_s25_AB08 38717 475 626 8.193436 11.877686 10.902441 1747
mcs10_r01_s25_AB09 31072 474 644 10.341260 11.891829 11.125182 1281
mcs10_r01_s30_AB00 1000000 13214 20005 249.360870 373.185791 346.394501 96497
mcs10_r01_s30_AB01 1000000 8491 11878 92.792656 143.663406 134.600311 57838
mcs10_r01_s30_AB02 1000000 9752 9487 141.679443 172.297028 162.122787 51989
mcs10_r01_s30_AB03 1000000 13573 21160 260.746460 419.150665 386.184418 82120
mcs10_r01_s30_AB04 937094 8073 11591 163.105209 150.096619 140.686066 34999
mcs10_r01_s30_AB05 1000000 10889 16263 208.997589 320.518097 297.473541 48381
mcs10_r01_s30_AB06 1000000 12117 19064 275.872101 376.096405 346.919434 71215
mcs10_r01_s30_AB07 1000000 7551 10687 145.047516 244.971252 226.202530 43141
mcs10_r01_s30_AB08 1000000 16442 24380 318.658722 538.393921 497.914978 75855
mcs10_r01_s30_AB09 1000000 13381 20998 251.015762 413.542542 387.135803 59758
mcs10_r01_s35_AB00 1000000 124333 148794 1000.000000 1000.000000 1000.000000 1000003
mcs10_r01_s35_AB01 1000000 263935 402909 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB02 1000000 150857 237553 1000.000061 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB03 1000000 153701 247574 1000.000000 1000.000061 1000.000000 1000004
mcs10_r01_s35_AB04 1000000 132713 208876 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB05 1000000 238679 380754 1000.000061 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB06 1000000 67741 110479 993.084412 1000.000000 1000.000000 773990
mcs10_r01_s35_AB07 1000000 355196 566893 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB08 1000000 156130 244953 1000.000061 1000.000000 1000.000000 1000004
mcs10_r01_s35_AB09 1000000 336632 518043 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s40_AB00 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s40_AB01 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000004
mcs10_r01_s40_AB02 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000005
mcs10_r01_s40_AB03 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s40_AB04 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s40_AB05 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000004
mcs10_r01_s40_AB06 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s40_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000004
mcs10_r01_s40_AB08 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000005
mcs10_r01_s40_AB09 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s50_AB00 1000000 1000000 1000000 1000.000000 1000.000061 1000.000000 1000006
mcs10_r01_s50_AB01 1000001 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_r01_s50_AB02 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000005
mcs10_r01_s50_AB03 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s50_AB04 1000000 1000000 1000000 1000.000061 1000.000061 1000.000000 1000006
mcs10_r01_s50_AB05 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000005
mcs10_r01_s50_AB06 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r01_s50_AB07 1000000 1000000 1000000 1000.000000 1000.000000 1000.000000 1000006
mcs10_r01_s50_AB08 1000001 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r01_s50_AB09 1000000 1000000 1000000 1000.000061 1000.000000 1000.000000 1000006
mcs10_r02_s20_AB00 533 240 373 2.188500 4.660016 4.345005 62
mcs10_r02_s20_AB01 294 94 125 0.996737 1.945378 1.861086 49
mcs10_r02_s20_AB02 287 65 90 0.667012 1.197619 1.013251 51
mcs10_r02_s20_AB03 500 99 165 1.301693 2.605885 2.477978 62
mcs10_r02_s20_AB04 406 125 238 1.778051 3.675993 3.684592 60
mcs10_r02_s20_AB05 541 207 354 2.043251 4.278694 3.992251 57
mcs10_r02_s20_AB06 335 204 242 0.982110 2.012090 1.898611 50
mcs10_r02_s20_AB07 559 216 350 1.823872 3.639280 3.444867 62
mcs10_r02_s20_AB08 488 176 228 1.473887 2.832434 2.717049 62
mcs10_r02_s20_AB09 441 94 175 0.828814 1.541588 1.529841 55
mcs10_r02_s25_AB00 8219 1513 2832 21.277328 44.541775 41.724190 414
mcs10_r02_s25_AB01 10873 1774 3037 23.601229 50.710491 48.237801 547
mcs10_r02_s25_AB02 10304 2451 4610 25.038645 54.649960 56.074329 510
mcs10_r02_s25_AB03 9533 1252 2313 12.194741 26.380247 24.776093 474
mcs10_r02_s25_AB04 10153 1898 3424 26.891075 55.734356 53.453037 508
mcs10_r02_s25_AB05 10261 1966 3870 22.446247 50.550610 47.898659 494
mcs10_r02_s25_AB06 9454 2156 4136 26.974957 60.222969 59.612507 480
mcs10_r02_s25_AB07 13222 3048 5613 33.972450 79.439507 72.971069 636
mcs10_r02_s25_AB08 5954 1423 2793 21.127802 46.760460 44.939945 346
mcs10_r02_s25_AB09 10628 2174 3641 24.459284 53.525848 52.043011 526
mcs10_r02_s30_AB00 130911 26606 53123 273.561371 663.811096 630.811279 5350
mcs10_r02_s30_AB01 144998 27478 54474 285.161255 683.792358 661.557861 5728
mcs10_r02_s30_AB02 190723 31109 59304 466.177185 1000.000000 1000.000000 7772
mcs10_r02_s30_AB03 206414 35247 71390 482.260590 1000.000000 1000.000000 8098
mcs10_r02_s30_AB04 216352 35031 69343 486.351074 1000.000000 1000.000000 8356
mcs10_r02_s30_AB05 151985 28546 57000 249.457886 589.697876 561.875244 5955
mcs10_r02_s30_AB06 134200 29455 60948 426.361481 1000.000000 1000.000000 5409
mcs10_r02_s30_AB07 105069 22376 45894 228.102097 547.882019 519.044739 4201
mcs10_r02_s30_AB08 221736 37778 75543 524.682922 1000.000000 1000.000000 8857
mcs10_r02_s30_AB09 230253 35542 70951 514.164490 1000.000000 1000.000000 9036
mcs10_r02_s35_AB00 1000000 450692 937724 1000.000061 1000.000000 1000.000000 127809
mcs10_r02_s35_AB01 1000000 410518 866615 1000.000061 1000.000000 1000.000000 94574
mcs10_r02_s35_AB02 1000000 470647 992744 1000.000000 1000.000000 1000.000000 107324
mcs10_r02_s35_AB03 1000000 513141 1000000 1000.000061 1000.000000 1000.000000 109938
mcs10_r02_s35_AB04 1000000 433915 925500 1000.000000 1000.000000 1000.000000 97818
mcs10_r02_s35_AB05 1000000 467608 1000000 1000.000000 1000.000000 1000.000000 91883
mcs10_r02_s35_AB06 1000000 519918 1000000 1000.000000 1000.000000 1000.000061 124559
mcs10_r02_s35_AB07 1000000 386620 824807 1000.000061 1000.000000 1000.000000 92156
