instance clique james-cpp-max james-cpp-max-down cp-branching-fc cp-branching-filtering-fc cp-filtering-fc clique-par/t32
mcs10_r02_s30_AB03 43582467 88679889 166058292 120133573.000000 NaN NaN 42668846
mcs10_r02_s30_AB04 43644979 91329920 168180758 119371383.000000 NaN NaN 43641828
mcs10_r02_s30_AB05 31535381 71219001 132254142 57835411.000000 57033607.000000 58400241.000000 30252080
mcs10_r02_s30_AB06 27407608 73320488 139119085 104687126.000000 NaN NaN 27490809
mcs10_r02_s30_AB07 20783396 56057021 105825292 53496773.000000 52840514.000000 53972196.000000 19948068
mcs10_r02_s30_AB08 46409731 95503008 178092872 130243788.000000 NaN NaN 46441486
mcs10_r02_s30_AB09 46285139 91103288 170245486 127093905.000000 NaN NaN 45743068
mcs10_r02_s35_AB00 NaN 1113708247 2146002404 NaN NaN NaN 483417704
mcs10_r02_s35_AB01 NaN 986541491 1922725231 NaN NaN NaN 364545326
mcs10_r02_s35_AB02 NaN 1130659850 2225655603 NaN NaN NaN 430874497
mcs10_r02_s35_AB03 NaN 1194671021 NaN NaN NaN NaN 445025738
mcs10_r02_s35_AB04 NaN 1041127792 2061928892 NaN NaN NaN 389938981
mcs10_r02_s35_AB05 NaN 1082690282 NaN NaN NaN NaN 362927616
mcs10_r02_s35_AB06 NaN 1253342021 NaN NaN NaN NaN 482487541
mcs10_r02_s35_AB07 NaN 924238150 1813847283 NaN NaN NaN 363595494
mcs10_r02_s35_AB08 NaN 1313522652 NaN NaN NaN NaN 458064157
mcs10_r02_s35_AB09 NaN 1294592953 NaN NaN NaN NaN 531869097
mcs10_r02_s40_AB00 NaN NaN NaN NaN NaN NaN 2247244354
mcs10_r02_s40_AB01 NaN NaN NaN NaN NaN NaN 2733583502
mcs10_r02_s40_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB07 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB08 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s40_AB09 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB00 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB01 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB02 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB03 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB04 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB05 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB06 NaN NaN NaN NaN NaN NaN NaN
mcs10_r02_s50_AB07 NaN NaN NaN NaN NaN NaN NaN
