instance family cp
mcs30_b03_s30_AB06 0 1000.000000
mcs30_b03_s30_AB07 0 7.149940
mcs30_b03_s30_AB08 0 174.420639
mcs30_b03_s30_AB09 0 26.077940
mcs30_b03_s35_AB00 0 1000.000000
mcs30_b03_s35_AB01 0 551.516785
mcs30_b03_s35_AB02 0 304.397095
mcs30_b03_s35_AB03 0 1000.000000
mcs30_b03_s35_AB04 0 234.602112
mcs30_b03_s35_AB05 0 1000.000000
mcs30_b03_s35_AB06 0 365.456818
mcs30_b03_s35_AB07 0 874.691528
mcs30_b03_s35_AB08 0 778.749451
mcs30_b03_s35_AB09 0 616.531372
mcs30_b03_s40_AB00 0 1000.000000
mcs30_b03_s40_AB01 0 1000.000000
mcs30_b03_s40_AB02 0 1000.000000
mcs30_b03_s40_AB03 0 1000.000061
mcs30_b03_s40_AB04 0 1000.000000
mcs30_b03_s40_AB05 0 1000.000000
mcs30_b03_s40_AB06 0 1000.000000
mcs30_b03_s40_AB07 0 1000.000000
mcs30_b03_s40_AB08 0 1000.000000
mcs30_b03_s40_AB09 0 1000.000000
mcs30_b03_s50_AB00 0 1000.000000
mcs30_b03_s50_AB01 0 1000.000061
mcs30_b03_s50_AB02 0 1000.000000
mcs30_b03_s50_AB03 0 1000.000000
mcs30_b03_s50_AB04 0 1000.000061
mcs30_b03_s50_AB05 0 1000.000000
mcs30_b03_s50_AB06 0 1000.000061
mcs30_b03_s50_AB07 0 1000.000000
mcs30_b03_s50_AB08 0 1000.000061
mcs30_b03_s50_AB09 0 1000.000000
mcs30_b03m_s15_AB00 0 0.011572
mcs30_b03m_s15_AB01 0 0.028536
mcs30_b03m_s15_AB02 0 0.016632
mcs30_b03m_s15_AB03 0 0.005643
mcs30_b03m_s15_AB04 0 0.040686
mcs30_b03m_s15_AB05 0 0.014550
mcs30_b03m_s15_AB06 0 0.032983
mcs30_b03m_s15_AB07 0 0.008339
mcs30_b03m_s15_AB08 0 0.019368
mcs30_b03m_s15_AB09 0 0.019442
mcs30_b03m_s20_AB00 0 0.402956
mcs30_b03m_s20_AB01 0 0.093047
mcs30_b03m_s20_AB02 0 0.334157
mcs30_b03m_s20_AB03 0 0.161164
mcs30_b03m_s20_AB04 0 0.378401
mcs30_b03m_s20_AB05 0 0.227852
mcs30_b03m_s20_AB06 0 0.228370
mcs30_b03m_s20_AB07 0 0.052765
mcs30_b03m_s20_AB08 0 0.292743
mcs30_b03m_s20_AB09 0 0.167324
mcs30_b03m_s25_AB00 0 2.834720
mcs30_b03m_s25_AB01 0 6.232938
mcs30_b03m_s25_AB02 0 2.197807
mcs30_b03m_s25_AB03 0 5.240611
mcs30_b03m_s25_AB04 0 87.485222
mcs30_b03m_s25_AB05 0 4.744492
mcs30_b03m_s25_AB06 0 3.107784
mcs30_b03m_s25_AB07 0 3.623176
mcs30_b03m_s25_AB08 0 402.922180
mcs30_b03m_s25_AB09 0 2.155824
mcs30_b03m_s30_AB00 0 57.739864
mcs30_b03m_s30_AB01 0 176.590683
mcs30_b03m_s30_AB02 0 8.497475
