instance clique cp-fc james-cpp-max
mcs30_m3D_s30_AB05 3890 2550.000000 2058
mcs30_m3D_s30_AB06 1045 30044.000000 12028
mcs30_m3D_s30_AB07 507 12352.000000 8855
mcs30_m3D_s30_AB08 4727 32535.000000 23218
mcs30_m3D_s30_AB09 97 3259.000000 2041
mcs30_m3D_s40_AB00 108275 2162710.000000 1001945
mcs30_m3D_s40_AB01 72609 974184.000000 917929
mcs30_m3D_s40_AB02 24418 416725.000000 205261
mcs30_m3D_s40_AB03 199926 950980.000000 906488
mcs30_m3D_s40_AB04 21684 2663322.000000 503428
mcs30_m3D_s40_AB05 44800 2790777.000000 170798
