instance clique cp-fc james-cpp-max
mcs10_m2D_s70_AB07 303597 1000.000000 793960
mcs10_m2D_s70_AB08 49470 1000.000000 1000000
mcs10_m2D_s70_AB09 133492 1000.000000 734843
mcs10_m2D_s80_AB00 1000000 1000.000061 1000000
mcs10_m2D_s80_AB01 1000000 1000.000000 1000000
mcs10_m2D_s80_AB02 1000000 1000.000061 1000000
mcs10_m2D_s80_AB03 1000000 1000.000000 1000000
mcs10_m2D_s80_AB04 1000000 1000.000000 1000000
mcs10_m2D_s80_AB05 1000000 1000.000061 1000000
mcs10_m2D_s80_AB06 1000000 1000.000000 1000000
mcs10_m2D_s80_AB07 1000000 1000.000000 1000000
mcs10_m2D_s80_AB08 1000000 1000.000061 1000000
mcs10_m2D_s80_AB09 1000000 1000.000061 1000000
mcs10_m2D_s90_AB00 1000000 1000.000000 1000000
mcs10_m2D_s90_AB01 1000000 1000.000061 1000000
mcs10_m2D_s90_AB02 1000000 1000.000061 1000000
mcs10_m2D_s90_AB03 1000000 1000.000061 1000000
mcs10_m2D_s90_AB04 1000000 1000.000061 1000000
mcs10_m2D_s90_AB05 1000000 1000.000061 1000000
mcs10_m2D_s90_AB06 1000000 1000.000061 1000000
mcs10_m2D_s90_AB07 1000000 1000.000061 1000000
mcs10_m2D_s90_AB08 1000000 1000.000061 1000000
mcs10_m2D_s90_AB09 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB00 357898 1000.000061 1000000
mcs10_m2Dr2_s100_AB01 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB02 416431 1000.000061 1000000
mcs10_m2Dr2_s100_AB03 429243 1000.000122 1000000
mcs10_m2Dr2_s100_AB04 79195 1000.000061 1000000
mcs10_m2Dr2_s100_AB05 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB06 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB07 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB08 1000000 1000.000061 1000000
mcs10_m2Dr2_s100_AB09 1000000 1000.000061 1000000
mcs10_m2Dr2_s70_AB00 1000000 1000.000000 1000000
mcs10_m2Dr2_s70_AB01 1000000 1000.000061 1000000
mcs10_m2Dr2_s70_AB02 703079 1000.000000 773193
mcs10_m2Dr2_s70_AB03 95573 1000.000061 286625
mcs10_m2Dr2_s70_AB04 92044 1000.000000 316395
mcs10_m2Dr2_s70_AB05 127594 1000.000000 187051
mcs10_m2Dr2_s70_AB06 1000000 1000.000061 1000000
mcs10_m2Dr2_s70_AB07 973658 1000.000000 1000000
mcs10_m2Dr2_s70_AB08 1000000 1000.000000 1000000
mcs10_m2Dr2_s70_AB09 771333 1000.000000 1000000
mcs10_m2Dr2_s80_AB00 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB01 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB02 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB03 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB04 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB05 1000000 1000.000000 1000000
mcs10_m2Dr2_s80_AB06 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB07 1000000 1000.000000 1000000
mcs10_m2Dr2_s80_AB08 1000000 1000.000061 1000000
mcs10_m2Dr2_s80_AB09 1000000 1000.000000 1000000
mcs10_m2Dr2_s90_AB00 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB01 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB02 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB03 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB04 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB05 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB06 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB07 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB08 1000000 1000.000061 1000000
mcs10_m2Dr2_s90_AB09 1000000 1000.000061 1000000
mcs10_m2Dr4_s100_AB00 38301 1000.000061 1000000
mcs10_m2Dr4_s100_AB01 390630 1000.000061 1000000
mcs10_m2Dr4_s100_AB02 1000000 1000.000061 1000000
mcs10_m2Dr4_s100_AB03 49408 1000.000061 1000000
mcs10_m2Dr4_s100_AB04 31167 1000.000061 1000000
mcs10_m2Dr4_s100_AB05 286026 1000.000061 1000000
mcs10_m2Dr4_s100_AB06 90398 1000.000061 1000000
mcs10_m2Dr4_s100_AB07 1000000 1000.000061 1000000
mcs10_m2Dr4_s100_AB08 1000000 1000.000061 1000000
mcs10_m2Dr4_s100_AB09 1000000 1000.000061 1000000
mcs10_m2Dr4_s40_AB00 18 1.289245 80
mcs10_m2Dr4_s40_AB01 150 28.236162 1103
mcs10_m2Dr4_s40_AB02 22 12.692499 718
mcs10_m2Dr4_s40_AB03 229 11.075600 578
mcs10_m2Dr4_s40_AB04 29 4.550415 302
mcs10_m2Dr4_s40_AB05 66 4.812067 79
mcs10_m2Dr4_s40_AB06 60 10.846066 592
mcs10_m2Dr4_s40_AB07 98 6.537956 153
mcs10_m2Dr4_s40_AB08 50 5.614845 164
mcs10_m2Dr4_s40_AB09 18 1.131518 81
mcs10_m2Dr4_s50_AB00 39643 1000.000000 2665
mcs10_m2Dr4_s50_AB01 2047 213.352020 2292
mcs10_m2Dr4_s50_AB02 4264 1000.000000 31465
mcs10_m2Dr4_s50_AB03 7547 722.848145 36925
