instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si6_b03m_m800.03 1e6 1e3 681 397 83 104
si6_b03m_m800.00 1e6 1e3 680 1000003 13 108
si6_b03m_m800.04 1e6 1e3 790 1000004 9 124
si6_b03m_m800.05 1e6 1e3 681 1000004 9 115
si6_b03m_m800.07 1e6 1e3 676 1000005 14 121
si6_b03m_m800.06 1e6 1e3 681 1000006 13 117
si6_b03m_m800.09 1e6 1e3 694 1000007 13 112
si6_b03m_m800.02 1e6 1e3 672 1000004 14 115
si4_r005_m200.00 1000010 1000.000061 445 1000000 22 68
si4_r005_m200.08 1000009 1000.000061 132 1000000 2 25
si4_r005_m200.02 1000009 1000.000061 110 1000000 23 23
si4_r005_m200.05 1000011 1000.000061 127 1000000 2 23
si4_r005_m200.06 1000009 1000.000061 103 1000000 2 23
si4_r005_m200.04 1000010 1000.000061 872 1000000 4 86
si4_r005_m200.07 1000009 1000.000061 267 1000000 4 41
si4_r005_m200.09 1000009 1000.000061 264 1000000 6 33
si4_r005_m200.01 1000009 1000.000061 241 1000000 2 38
si4_r005_m200.03 1000010 1000.000061 207 1000000 7 34
si6_b09m_m400.03 1e6 353.077179 176 3 4 33
si6_b09m_m400.07 1e6 209.535278 275 1000001 4 34
si6_b09m_m400.00 1e6 205.987076 162 1000001 3 32
si6_b09m_m400.04 1e6 211.869263 163 3 4 33
si6_b09m_m400.06 1e6 355.405151 162 3 4 31
si6_b09m_m400.08 1e6 238.197479 159 1000001 4 32
si6_b09m_m400.02 1e6 221.040451 162 1000001 3 32
si6_b09m_m400.05 1e6 1000.000305 159 1000001 4 31
si6_b09m_m400.09 1e6 337.479065 163 1000001 5 32
si6_b09m_m400.01 1e6 351.236877 162 1000001 3 33
si2_b09_m200.08 95506 1.351823 22 0 0 11
si2_b09_m200.01 85996 60.792328 40 0 0 11
si2_b09_m200.06 90246 0.924990 38 1 0 10
si2_b09_m200.05 87209 0.961393 22 0 0 10
si2_b09_m200.00 83578 0.910642 22 0 0 11
si2_b09_m200.02 133448 1.047955 36 0 0 11
si2_b09_m200.03 82590 0.920901 22 0 0 12
si2_b09_m200.04 84481 1.078012 22 0 0 10
si2_b09_m200.09 175996 0.954117 36 0 1 10
si2_b09_m200.07 111842 1.080528 36 0 0 10
si6_r01_m600.02 1e6 1e3 902757 1000003 178 94113
si6_r01_m600.06 1e6 1e3 820446 1000003 12 83833
si6_r01_m600.09 1e6 1e3 347294 1000003 532 37799
si6_r01_m600.08 1e6 1e3 1000001 1000003 4278 120753
si6_r01_m600.05 1e6 1e3 789909 1000004 15 81897
si6_r01_m600.07 1e6 1e3 1000001 1000003 384 145428
si6_r01_m600.03 1e6 1e3 691749 1000003 222 74439
si6_r01_m600.00 1e6 1e3 207339 1000003 120 21336
si6_r01_m600.01 1e6 1e3 1000001 1000003 39 381201
si6_r01_m600.04 1e6 1e3 1000001 1000004 721 266234
si2_b06_m200.02 105148 0.994635 31 0 0 10
si2_b06_m200.00 108703 0.964497 20 0 0 10
si2_b06_m200.01 183070 0.969965 33 0 0 9
si2_b06_m200.06 114808 0.997015 20 0 0 9
si2_b06_m200.09 149661 0.996633 20 0 0 12
si2_b06_m200.07 193403 0.972721 20 0 0 10
si2_b06_m200.04 118311 0.977493 20 0 0 9
si2_b06_m200.08 157241 1.023669 20 0 0 9
si2_b06_m200.03 113665 1.040880 35 0 0 10
si2_b06_m200.05 147673 0.971424 20 0 0 9
si6_m4Dr2_m1296.05 1e6 1e3 2511 1000013 42 347
si6_m4Dr2_m1296.09 1e6 1e3 2677 1000008 33 352
si6_m4Dr2_m1296.01 1e6 1e3 3202 1000010 32 316
si6_m4Dr2_m1296.06 1e6 1e3 3023 1000008 28 341
si6_m4Dr2_m1296.07 1e6 1e3 2677 1000012 34 329
si6_m4Dr2_m1296.03 1e6 1e3 2760 1000009 32 342
si6_m4Dr2_m1296.04 1e6 1e3 2497 1000013 32 333
si6_m4Dr2_m1296.00 1e6 1e3 2702 1000010 27 340
si6_m4Dr2_m1296.08 1e6 1e3 2630 28 41 336
si6_m4Dr2_m1296.02 1e6 1e3 2547 29 46 325
si2_b09m_m800.09 1e6 1000.000061 415 1000003 10 60
si2_b09m_m800.07 1e6 1000.000122 418 1000003 34226 73
si2_b09m_m800.00 1e6 1000.000061 532 1000003 7 57
si2_b09m_m800.04 1e6 1000.000061 483 1000004 10 58
si2_b09m_m800.02 1e6 1000.000061 410 1000003 10 61
si2_b09m_m800.05 1e6 1000.000366 418 1000003 13 56
si2_b09m_m800.03 1e6 1000.000122 418 1000003 10 78
si2_b09m_m800.08 1e6 1000.000061 594 1000003 6 63
si2_b09m_m800.06 1e6 1000.000000 410 1000003 8 58
si2_b09m_m800.01 1e6 1000.000061 536 1000004 6 57
si4_b03_m400.01 1e6 94.652443 212 2 1 41
si4_b03_m400.02 1e6 127.344490 129 3 3 38
si4_b03_m400.05 1e6 117.092201 219 2 1 37
si4_b03_m400.07 1e6 133.046921 129 1 1 35
si4_b03_m400.06 1e6 156.666489 144 2 2 38
si4_b03_m400.00 1e6 123.768837 128 2 3 36
si4_b03_m400.03 1e6 128.791138 134 3 2 37
si4_b03_m400.04 1e6 147.312851 203 1 1 36
si4_b03_m400.09 1e6 164.275681 129 2 1 38
si4_b03_m400.08 1e6 170.893097 128 2 2 35
si2_b03_m200.05 1000003 1.023133 30 0 0 9
si2_b03_m200.09 1000004 1.010762 26 0 0 8
si2_b03_m200.07 1000004 0.999641 18 0 0 9
si2_b03_m200.01 1000004 1.120332 18 0 0 9
si2_b03_m200.08 25870 1.553875 27 0 0 10
si2_b03_m200.02 1000004 0.986590 30 0 0 8
si2_b03_m200.04 1000003 1.016141 32 0 0 9
