instance clique cp-fc kdown james-cpp-max james-cpp-max-down kdown-par/t32
si4_b06m_m400.01 NaN NaN 3 NaN 920 3
si4_b06m_m400.08 NaN NaN 7 NaN 774 29
si4_b06m_m400.05 NaN NaN 13 NaN 838 88
si4_b06m_m400.07 NaN NaN 8 NaN 796 17
si4_b06m_m400.00 NaN NaN 5 NaN 802 8
si4_b06m_m400.04 NaN 600.000000 14 NaN 802 130
si4_b06m_m400.09 NaN NaN 13 NaN 802 112
si4_b06m_m400.02 NaN 657.000000 8 763 763 40
si2_m4Dr2_m625.05 NaN NaN 12 NaN 5435 43
si2_m4Dr2_m625.00 NaN NaN 57 NaN 1367 395
si2_m4Dr2_m625.08 NaN NaN 2 NaN 915 2
si2_m4Dr2_m625.09 NaN 980.000000 18 NaN 2511 250
si2_m4Dr2_m625.06 NaN NaN 20 NaN 8445 241
si2_m4Dr2_m625.04 NaN NaN 11 NaN 17594 39
si2_m4Dr2_m625.01 NaN NaN 39 NaN 8065 162
si2_m4Dr2_m625.03 NaN NaN 13 NaN 3484 83
si2_m4Dr2_m625.02 NaN NaN 24 NaN 6384 279
si2_m4Dr2_m625.07 NaN NaN 21 NaN 1361 289
si2_r005_m200.02 NaN NaN 394 NaN 617 413
si2_r005_m200.01 NaN NaN 50117 NaN 7366102 37526
si2_r005_m200.03 NaN NaN 3875 NaN 34480 3678
si2_r005_m200.05 NaN NaN 93449 NaN 568796 69070
si2_r005_m200.08 NaN NaN 29497 NaN 226470 22326
si2_r005_m200.04 NaN NaN 1175 NaN 116015 719
si2_r005_m200.09 NaN NaN 4672 NaN 93940 3668
si2_r005_m200.06 NaN NaN 4394 NaN 19804 4942
si2_r005_m200.00 NaN NaN 21359 NaN 150993 20318
si2_r005_m200.07 NaN NaN 1279 NaN 68234 1118
si4_b03m_m400.03 NaN NaN 27 NaN 856 535
si4_b03m_m400.09 NaN NaN 19 NaN 889 232
si4_b03m_m400.08 NaN NaN 21 NaN 1231 341
si4_b03m_m400.04 NaN NaN 19 NaN 1816 234
si4_b03m_m400.00 NaN NaN 21 NaN 934 235
si4_b03m_m400.01 NaN NaN 25 NaN 909 385
si4_b03m_m400.07 NaN NaN 20 NaN 1122 264
si4_b03m_m400.02 NaN NaN 24 NaN 843 389
si4_b03m_m400.06 NaN NaN 19 NaN 841 141
si4_b03m_m400.05 NaN NaN 23 NaN 818 335
si2_r01_m600.01 NaN NaN NaN NaN 2475042 4749578
si2_r01_m600.06 NaN NaN NaN NaN 8545713 3615421
si2_r01_m600.09 NaN NaN NaN NaN 18796993 20933941
si2_r01_m600.08 NaN NaN NaN NaN 35323499 10744753
si2_r01_m600.04 NaN NaN NaN NaN 7376990 5920976
si2_r01_m600.02 NaN NaN NaN NaN 9781721 11170572
si2_r01_m600.00 NaN NaN NaN NaN 4680247 NaN
si2_r01_m600.07 NaN NaN NaN NaN 3052532 9782827
si2_r01_m600.03 NaN NaN NaN NaN 4589247 9279613
si2_r01_m600.05 NaN NaN NaN NaN 6460078 5919189
si4_m4Dr6_m256.01 NaN NaN 1 NaN 544 1
si4_m4Dr6_m256.00 NaN 528.000000 11 NaN 4210 16
si4_m4Dr6_m256.05 NaN NaN 24 NaN 7013 45
si4_m4Dr6_m256.08 NaN NaN 10 NaN 2278 23
si4_m4Dr6_m256.03 NaN NaN 7 NaN 769 14
si4_m4Dr6_m256.06 NaN NaN 3 NaN 2115 6
si4_m4Dr6_m256.09 NaN NaN 5 NaN 570 12
si4_m4Dr6_m256.07 NaN NaN 99 NaN 17054 195
si4_m4Dr6_m256.02 NaN NaN 3 NaN 1077 4
si4_m4Dr6_m256.04 NaN 533.000000 6 NaN 3136 13
si2_b03m_m400.02 NaN NaN 8 NaN 7892 24
si2_b03m_m400.00 NaN NaN 16 NaN 718 143
si2_b03m_m400.01 NaN NaN 21 NaN 693 252
si2_b03m_m400.05 NaN NaN 12 NaN 4540 43
si2_b03m_m400.08 NaN NaN 20 15094 669 182
si2_b03m_m400.07 NaN NaN 24 28171 805 276
si2_b03m_m400.09 NaN NaN 25 2910 650 366
si2_b03m_m400.03 NaN NaN 16 NaN 663 107
si2_b03m_m400.04 NaN NaN 23 NaN 676 382
si2_b03m_m400.06 NaN 4887612.000000 26 975 701 384
si2_b03m_m200.05 NaN 340139.000000 3 10393056 327 3
si2_b03m_m200.03 NaN 1567.000000 15 333 333 159
si2_b03m_m200.00 NaN 26086528.000000 6 3392 316 14
si2_b03m_m200.08 NaN 3293134.000000 4 5027495 323 10
si2_b03m_m200.06 NaN 4178.000000 8 318 318 23
si2_b03m_m200.02 NaN 9979.000000 14 548 340 116
si2_b03m_m200.09 NaN 1756104.000000 8 4691493 348 43
si2_b03m_m200.04 NaN 1096.000000 16 12140 357 146
si2_b03m_m200.01 NaN 4262.000000 16 2071 365 67
