instance clique cp-fc cp-mac james-cpp-max
mcs10_b09_s100_AB06 5391 1000.000061 1000.000000 119139
mcs10_b09_s100_AB07 16011 1000.000000 1000.000061 287861
mcs10_b09_s100_AB08 133358 1000.000061 1000.000061 965914
mcs10_b09_s100_AB09 26417 1000.000061 1000.000061 881147
mcs10_b09m_s100_AB00 41188 1000.000061 1000.000061 1000000
mcs10_b09m_s100_AB01 163867 1000.000000 1000.000061 1000000
mcs10_b09m_s100_AB02 40312 1000.000000 1000.000061 1000000
mcs10_b09m_s100_AB03 33314 1000.000061 1000.000061 1000000
mcs10_b09m_s100_AB04 13647 1000.000061 1000.000061 161457
mcs10_b09m_s100_AB05 7741 1000.000061 1000.000061 703368
mcs10_b09m_s100_AB06 89374 1000.000061 1000.000000 1000000
mcs10_b09m_s100_AB07 25417 1000.000061 1000.000000 912439
mcs10_b09m_s100_AB08 19656 1000.000061 1000.000061 393551
mcs10_b09m_s100_AB09 75006 1000.000061 1000.000000 1000000
mcs10_m2D_s100_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB01 71011 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB02 956651 1000.000061 1000.000122 1000000
mcs10_m2D_s100_AB03 80469 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB04 486559 1000.000061 1000.000122 1000000
mcs10_m2D_s100_AB05 605196 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB06 510591 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s100_AB08 1000000 1000.000122 1000.000122 1000000
mcs10_m2D_s100_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s40_AB00 118 1.952252 1.868570 253
mcs10_m2D_s40_AB01 49 2.210956 1.881199 56
mcs10_m2D_s40_AB02 96 3.528704 3.137584 228
mcs10_m2D_s40_AB03 24 1.520265 1.617608 39
mcs10_m2D_s40_AB04 22 7.007985 5.977149 251
mcs10_m2D_s40_AB05 34 2.748753 2.599403 169
mcs10_m2D_s40_AB06 126 4.676847 3.874552 126
mcs10_m2D_s40_AB07 27 4.167867 3.095022 157
mcs10_m2D_s40_AB08 16 0.241035 0.215616 32
mcs10_m2D_s40_AB09 70 2.772575 2.161284 250
mcs10_m2D_s50_AB00 23592 739.009155 563.780090 16482
mcs10_m2D_s50_AB01 10965 669.220825 595.902466 10232
mcs10_m2D_s50_AB02 2395 294.622040 257.057251 7378
mcs10_m2D_s50_AB03 6071 354.418610 327.555328 2301
mcs10_m2D_s50_AB04 1834 184.302307 174.528015 1445
mcs10_m2D_s50_AB05 32316 323.308167 325.130890 11814
mcs10_m2D_s50_AB06 904 182.800079 132.342178 4409
mcs10_m2D_s50_AB07 672 286.750275 194.256317 955
mcs10_m2D_s50_AB08 7202 1000.000000 868.160828 14754
mcs10_m2D_s50_AB09 73526 750.761292 609.652649 23302
mcs10_m2D_s60_AB00 569 50.059902 44.910381 294
mcs10_m2D_s60_AB01 2501 346.990387 322.862823 4525
mcs10_m2D_s60_AB02 480 54.532505 52.717335 1937
mcs10_m2D_s60_AB03 1853 1000.000061 1000.000000 74872
mcs10_m2D_s60_AB04 2666 752.747192 689.864136 7421
mcs10_m2D_s60_AB05 328 632.129822 543.269531 18332
mcs10_m2D_s60_AB06 6283 443.939392 393.560974 18213
mcs10_m2D_s60_AB07 65055 722.798279 599.459900 20738
mcs10_m2D_s60_AB08 213 85.380730 77.159424 1647
mcs10_m2D_s60_AB09 1978 130.786270 109.980743 6666
mcs10_m2D_s70_AB00 120832 1000.000000 1000.000000 336530
mcs10_m2D_s70_AB01 17821 1000.000061 1000.000061 104421
mcs10_m2D_s70_AB02 47887 1000.000000 1000.000000 696458
mcs10_m2D_s70_AB03 16021 1000.000000 1000.000000 105108
mcs10_m2D_s70_AB04 5658 1000.000061 1000.000061 387006
mcs10_m2D_s70_AB05 11042 1000.000000 1000.000000 151126
mcs10_m2D_s70_AB06 35704 1000.000000 1000.000061 170877
mcs10_m2D_s70_AB07 173987 1000.000000 1000.000000 179596
mcs10_m2D_s70_AB08 28806 1000.000000 1000.000000 309774
mcs10_m2D_s70_AB09 59271 1000.000000 1000.000000 311132
mcs10_m2D_s80_AB00 1000000 1000.000000 1000.000061 996088
mcs10_m2D_s80_AB01 1000000 1000.000000 1000.000061 1000000
mcs10_m2D_s80_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s80_AB03 1000000 1000.000000 1000.000061 1000000
mcs10_m2D_s80_AB04 674033 1000.000061 1000.000000 1000000
mcs10_m2D_s80_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s80_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s80_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s80_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s80_AB09 1000000 1000.000000 1000.000061 1000000
mcs10_m2D_s90_AB00 1000000 1000.000122 1000.000061 1000000
mcs10_m2D_s90_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB07 1000000 1000.000061 1000.000122 1000000
mcs10_m2D_s90_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_m2D_s90_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB00 223113 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB01 1000000 1000.000061 1000.000122 1000000
mcs10_m2Dr2_s100_AB02 625386 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB03 134387 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB04 106797 1000.000122 1000.000061 1000000
mcs10_m2Dr2_s100_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB08 412800 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s100_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s70_AB00 54117 1000.000000 1000.000000 286022
mcs10_m2Dr2_s70_AB01 258992 1000.000000 1000.000000 711826
mcs10_m2Dr2_s70_AB02 313565 1000.000061 1000.000061 110766
mcs10_m2Dr2_s70_AB03 42950 1000.000000 1000.000000 151004
mcs10_m2Dr2_s70_AB04 2043 1000.000061 1000.000061 35390
mcs10_m2Dr2_s70_AB05 25480 1000.000000 1000.000000 65099
mcs10_m2Dr2_s70_AB06 158609 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s70_AB07 234458 1000.000061 1000.000000 771249
mcs10_m2Dr2_s70_AB08 533714 1000.000000 1000.000000 343330
mcs10_m2Dr2_s70_AB09 13059 1000.000061 1000.000000 17757
mcs10_m2Dr2_s80_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB03 1000000 1000.000061 1000.000000 1000000
mcs10_m2Dr2_s80_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB05 569311 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB07 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB08 1000001 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s80_AB09 994058 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB00 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB01 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB02 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB03 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB04 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB05 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB06 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB07 1000000 1000.000061 1000.000122 1000000
mcs10_m2Dr2_s90_AB08 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr2_s90_AB09 1000000 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB00 45999 1000.000061 1000.000061 1000000
mcs10_m2Dr4_s100_AB01 259576 1000.000061 1000.000061 1000000
