instance clique cp-fc cp-mac james-cpp-max
mcs10_m2Dr2_s70_AB01 239990512 NaN NaN 1990839549
mcs10_m2Dr2_s70_AB02 344517720 NaN NaN 359660428
mcs10_m2Dr2_s70_AB03 38252672 NaN NaN 451114461
mcs10_m2Dr2_s70_AB04 2376515 NaN NaN 103728354
mcs10_m2Dr2_s70_AB05 18173373 NaN NaN 179343761
mcs10_m2Dr2_s70_AB06 161209140 NaN NaN NaN
mcs10_m2Dr2_s70_AB07 182034139 NaN NaN 1987414362
mcs10_m2Dr2_s70_AB08 516147272 NaN NaN 905763011
mcs10_m2Dr2_s70_AB09 10549908 NaN NaN 43361126
mcs10_m2Dr2_s80_AB00 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB01 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB02 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB03 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB04 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB05 508752242 NaN NaN NaN
mcs10_m2Dr2_s80_AB06 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB07 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB08 NaN NaN NaN NaN
mcs10_m2Dr2_s80_AB09 596762122 NaN NaN NaN
mcs10_m2Dr2_s90_AB00 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB01 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB02 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB03 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB04 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB05 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB06 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB07 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB08 NaN NaN NaN NaN
mcs10_m2Dr2_s90_AB09 NaN NaN NaN NaN
mcs10_m2Dr4_s100_AB00 27852732 NaN NaN NaN
mcs10_m2Dr4_s100_AB01 208461100 NaN NaN NaN
mcs10_m2Dr4_s100_AB02 311898826 NaN NaN NaN
mcs10_m2Dr4_s100_AB03 11209367 NaN NaN NaN
mcs10_m2Dr4_s100_AB04 16802452 NaN NaN NaN
mcs10_m2Dr4_s100_AB05 81882539 NaN NaN NaN
mcs10_m2Dr4_s100_AB06 48584459 NaN NaN NaN
mcs10_m2Dr4_s100_AB07 76985871 NaN NaN NaN
mcs10_m2Dr4_s100_AB08 NaN NaN NaN NaN
mcs10_m2Dr4_s100_AB09 NaN NaN NaN NaN
mcs10_m2Dr4_s40_AB00 2457 172650.000000 148259.000000 80246
mcs10_m2Dr4_s40_AB01 98664 2728119.000000 1789810.000000 1338271
mcs10_m2Dr4_s40_AB02 20455 1297427.000000 953819.000000 586434
mcs10_m2Dr4_s40_AB03 89850 1332872.000000 1125405.000000 851249
mcs10_m2Dr4_s40_AB04 12409 1124704.000000 783526.000000 410490
mcs10_m2Dr4_s40_AB05 21362 400415.000000 297666.000000 55188
mcs10_m2Dr4_s40_AB06 43337 1226254.000000 976207.000000 1016789
mcs10_m2Dr4_s40_AB07 21727 1007559.000000 653695.000000 257412
mcs10_m2Dr4_s40_AB08 27160 641564.000000 504692.000000 290689
mcs10_m2Dr4_s40_AB09 25440 301869.000000 231975.000000 244800
mcs10_m2Dr4_s50_AB00 8307277 70551857.000000 53369961.000000 4738680
mcs10_m2Dr4_s50_AB01 590248 12860375.000000 10717846.000000 2516588
mcs10_m2Dr4_s50_AB02 757883 234442159.000000 174612680.000000 49889822
mcs10_m2Dr4_s50_AB03 1476839 30749123.000000 21293819.000000 20411131
mcs10_m2Dr4_s50_AB04 2309148 29724445.000000 25917726.000000 18619744
mcs10_m2Dr4_s50_AB05 1197853 43581432.000000 34099364.000000 21225899
mcs10_m2Dr4_s50_AB06 1445000 10983063.000000 9052873.000000 4052145
mcs10_m2Dr4_s50_AB07 485295 45652122.000000 32159279.000000 5109336
mcs10_m2Dr4_s50_AB08 1665810 24148230.000000 19465930.000000 47659947
mcs10_m2Dr4_s50_AB09 2065495 104050853.000000 71186102.000000 37594584
mcs10_m2Dr4_s60_AB00 536731 118961852.000000 105430327.000000 31344684
mcs10_m2Dr4_s60_AB01 282662 30950450.000000 25969904.000000 14573709
mcs10_m2Dr4_s60_AB02 2365589 47751605.000000 32820175.000000 11720183
mcs10_m2Dr4_s60_AB03 1519734 18126547.000000 14307556.000000 6817907
mcs10_m2Dr4_s60_AB04 254354 9107026.000000 5545384.000000 1322324
mcs10_m2Dr4_s60_AB05 742787 NaN 218651008.000000 39458983
mcs10_m2Dr4_s60_AB06 228573 7864024.000000 5440248.000000 3095416
mcs10_m2Dr4_s60_AB07 716886 36348547.000000 29961981.000000 8560625
mcs10_m2Dr4_s60_AB08 561932 16775669.000000 15025741.000000 5786501
mcs10_m2Dr4_s60_AB09 483317 108674546.000000 86218988.000000 23394862
mcs10_m2Dr4_s70_AB00 22527019 NaN NaN 337869268
mcs10_m2Dr4_s70_AB01 23894062 NaN NaN 903087245
mcs10_m2Dr4_s70_AB02 9607301 NaN NaN 211593169
mcs10_m2Dr4_s70_AB03 48542476 NaN NaN 1713880732
mcs10_m2Dr4_s70_AB04 16116617 NaN NaN 1307762514
mcs10_m2Dr4_s70_AB05 614175773 NaN NaN 166167314
mcs10_m2Dr4_s70_AB06 2809538 NaN NaN 288473956
mcs10_m2Dr4_s70_AB07 56292273 NaN NaN 1030704717
mcs10_m2Dr4_s70_AB08 339793233 NaN NaN 677157792
mcs10_m2Dr4_s70_AB09 2397487 NaN NaN 129168148
mcs10_m2Dr4_s80_AB00 NaN NaN NaN NaN
mcs10_m2Dr4_s80_AB01 153047348 NaN NaN NaN
mcs10_m2Dr4_s80_AB02 NaN NaN NaN NaN
mcs10_m2Dr4_s80_AB03 242389401 NaN NaN NaN
mcs10_m2Dr4_s80_AB04 NaN NaN NaN NaN
mcs10_m2Dr4_s80_AB05 NaN NaN NaN NaN
mcs10_m2Dr4_s80_AB06 345543157 NaN NaN NaN
mcs10_m2Dr4_s80_AB07 456497605 NaN NaN NaN
mcs10_m2Dr4_s80_AB08 394585297 NaN NaN NaN
mcs10_m2Dr4_s80_AB09 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB00 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB01 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB02 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB03 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB04 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB05 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB06 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB07 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB08 NaN NaN NaN NaN
mcs10_m2Dr4_s90_AB09 NaN NaN NaN NaN
