instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_m2D_s40_AB05 178 248 3478 371 248.000000 230.000000 616.000000
mcs10_m2D_s40_AB06 201 253 3291 399 256.000000 242.000000 1069.000000
mcs10_m2D_s40_AB07 186 277 3768 383 259.000000 245.000000 373.000000
mcs10_m2D_s40_AB08 167 228 2845 356 229.000000 211.000000 321.000000
mcs10_m2D_s40_AB09 223 322 4378 428 315.000000 276.000000 418.000000
mcs10_m2D_s50_AB00 335 410 6447 658 409.000000 378.000000 810.000000
mcs10_m2D_s50_AB01 333 434 8747 662 430.000000 412.000000 1122.000000
mcs10_m2D_s50_AB02 308 409 6772 607 416.000000 376.000000 496.000000
mcs10_m2D_s50_AB03 311 427 6398 610 416.000000 396.000000 1837.000000
mcs10_m2D_s50_AB04 295 386 6771 586 380.000000 364.000000 544.000000
mcs10_m2D_s50_AB05 342 453 8773 666 440.000000 398.000000 1970.000000
mcs10_m2D_s50_AB06 290 399 7111 594 372.000000 358.000000 540.000000
mcs10_m2D_s50_AB07 297 416 7177 599 426.000000 380.000000 512.000000
mcs10_m2D_s50_AB08 314 420 8196 624 408.000000 382.000000 2835.000000
mcs10_m2D_s50_AB09 323 436 7885 639 422.000000 399.000000 3349.000000
mcs10_m2D_s60_AB00 188 243 3414 387 257.000000 245.000000 287.000000
mcs10_m2D_s60_AB01 218 275 5778 440 279.000000 273.000000 332.000000
mcs10_m2D_s60_AB02 218 293 5816 453 303.000000 295.000000 589.000000
mcs10_m2D_s60_AB03 261 331 6803 521 331.000000 321.000000 229171.000000
mcs10_m2D_s60_AB04 235 314 6033 469 308.000000 295.000000 654548.000000
mcs10_m2D_s60_AB05 225 275 5043 454 298.000000 274.000000 335.000000
mcs10_m2D_s60_AB06 222 303 5525 458 299.000000 295.000000 459.000000
mcs10_m2D_s60_AB07 231 302 5327 461 284.000000 274.000000 375.000000
mcs10_m2D_s60_AB08 209 279 4962 432 268.000000 260.000000 290.000000
mcs10_m2D_s60_AB09 213 278 5488 446 278.000000 271.000000 1745.000000
mcs10_m2D_s70_AB00 467 748 15939 784 740.000000 612.000000 857.000000
mcs10_m2D_s70_AB01 459 707 14857 758 721.000000 589.000000 806.000000
mcs10_m2D_s70_AB02 445 719 19447 746 722.000000 630.000000 1176.000000
mcs10_m2D_s70_AB03 443 717 15197 740 717.000000 587.000000 1155.000000
mcs10_m2D_s70_AB04 455 725 17407 755 736.000000 665.000000 924.000000
mcs10_m2D_s70_AB05 442 730 16751 736 721.000000 518.000000 869.000000
mcs10_m2D_s70_AB06 449 735 15835 760 741.000000 627.000000 1192.000000
mcs10_m2D_s70_AB07 582 974 25491 938 964.000000 822.000000 5180.000000
mcs10_m2D_s70_AB08 433 706 17666 729 698.000000 586.000000 1048.000000
mcs10_m2D_s70_AB09 463 764 15939 784 758.000000 534.000000 841.000000
mcs10_m2D_s80_AB00 581 961 26898 947 969.000000 835.000000 1356.000000
mcs10_m2D_s80_AB01 643 1039 22756 1024 1061.000000 901.000000 1571.000000
