instance clique james-cpp-max james-cpp-max-down clique-par/t32 cp-branching-mac cp-branching-filtering-mac cp-filtering-mac
mcs10_m2D_s40_AB01 11 0 1 15 0.002050 0.005673 0.006588
mcs10_m2D_s40_AB02 13 0 1 18 0.002203 0.006312 0.006370
mcs10_m2D_s40_AB03 10 0 0 14 0.001661 0.004712 0.009525
mcs10_m2D_s40_AB04 12 0 1 15 0.002259 0.006693 0.007282
mcs10_m2D_s40_AB05 11 0 1 15 0.001892 0.005115 0.008550
mcs10_m2D_s40_AB06 12 0 1 17 0.002141 0.005358 0.006960
mcs10_m2D_s40_AB07 14 0 2 16 0.001902 0.005247 0.006406
mcs10_m2D_s40_AB08 10 0 1 14 0.001736 0.004830 0.005579
mcs10_m2D_s40_AB09 12 0 1 18 0.002379 0.006120 0.007032
mcs10_m2D_s50_AB00 36 0 2 39 0.004110 0.011779 0.013186
mcs10_m2D_s50_AB01 37 0 3 39 0.004386 0.014091 0.018981
mcs10_m2D_s50_AB02 32 0 3 34 0.003724 0.012162 0.012125
mcs10_m2D_s50_AB03 31 0 2 34 0.003744 0.012762 0.017464
mcs10_m2D_s50_AB04 29 0 3 34 0.003649 0.011342 0.013506
mcs10_m2D_s50_AB05 37 0 4 41 0.004069 0.013062 0.023393
mcs10_m2D_s50_AB06 32 0 3 35 0.003817 0.012249 0.013481
mcs10_m2D_s50_AB07 32 0 4 34 0.004083 0.012355 0.012529
mcs10_m2D_s50_AB08 33 0 3 36 0.003898 0.012246 0.028439
mcs10_m2D_s50_AB09 35 0 3 38 0.004009 0.012926 0.020457
mcs10_m2D_s60_AB00 14 0 1 19 0.002324 0.008316 0.008624
mcs10_m2D_s60_AB01 20 0 2 24 0.002628 0.009605 0.010339
mcs10_m2D_s60_AB02 20 0 2 23 0.002724 0.010045 0.011986
mcs10_m2D_s60_AB03 26 0 3 32 0.003205 0.010972 0.551241
mcs10_m2D_s60_AB04 20 0 2 24 0.002661 0.009915 1.021639
mcs10_m2D_s60_AB05 20 0 2 23 0.002832 0.010331 0.010762
mcs10_m2D_s60_AB06 21 0 2 24 0.002733 0.010054 0.011397
mcs10_m2D_s60_AB07 20 0 2 24 0.002612 0.010190 0.011725
mcs10_m2D_s60_AB08 19 0 2 22 0.002394 0.009415 0.009447
mcs10_m2D_s60_AB09 19 0 2 23 0.002638 0.009844 0.029029
mcs10_m2D_s70_AB00 43 0 6 45 0.005835 0.031642 0.035960
mcs10_m2D_s70_AB01 38 0 8 40 0.005362 0.026101 0.029182
mcs10_m2D_s70_AB02 40 0 9 43 0.005427 0.030575 0.043723
mcs10_m2D_s70_AB03 39 0 7 40 0.005722 0.028157 0.040341
mcs10_m2D_s70_AB04 39 0 9 43 0.005307 0.031042 0.034690
mcs10_m2D_s70_AB05 37 0 8 43 0.005147 0.024827 0.031992
mcs10_m2D_s70_AB06 41 0 7 43 0.005631 0.027897 0.041237
mcs10_m2D_s70_AB07 55 0 12 57 0.007379 0.037312 0.093617
mcs10_m2D_s70_AB08 43 0 15 40 0.005359 0.028557 0.037383
mcs10_m2D_s70_AB09 43 0 7 45 0.005743 0.026252 0.032632
mcs10_m2D_s80_AB00 62 0 15 64 0.007849 0.051709 0.067514
mcs10_m2D_s80_AB01 67 0 10 68 0.008704 0.052234 0.064699
mcs10_m2D_s80_AB02 105 0 13 99 0.009901 0.052020 0.075496
mcs10_m2D_s80_AB03 79 0 12 79 0.008055 0.038802 0.042536
mcs10_m2D_s80_AB04 77 0 12 75 0.008843 0.055296 0.074859
mcs10_m2D_s80_AB05 80 0 13 78 0.008908 0.041023 0.047879
mcs10_m2D_s80_AB06 75 0 12 74 0.007853 0.060678 0.065946
mcs10_m2D_s80_AB07 85 0 13 84 0.008905 0.044078 0.054422
mcs10_m2D_s80_AB08 75 0 9 73 0.007697 0.041951 0.050219
mcs10_m2D_s80_AB09 77 0 11 75 0.007913 0.030661 0.417640
mcs10_m2D_s90_AB00 136 1 28 126 0.012835 0.073196 0.275820
mcs10_m2D_s90_AB01 130 1 17 122 0.011245 0.062467 0.077081
